team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Alabama,2Q,6,65,40,1,run,2,successful,0.50,,0.60,0.46,B.Robinson,,,S.Heyward,,1,,24-B.Robinson to DUK 1 for 2 yards (42-S.Heyward).
Alabama,2Q,6,66,41,2,run,1,successful,0.53,,0.61,0.47,B.Robinson,,,,,,, 24-B.Robinson runs 1 yard for a touchdown.
Duke,2Q,5,69,23,1,run,6,successful,0.31,,0.21,0.68,B.Brown,,,T.Diggs,X.McKinney,0.5,0.5,"8-B.Brown to DUK 31 for 6 yards (7-T.Diggs,15-X.McKinney)."
Duke,2Q,5,70,24,2,run,2,not successful,0.29,,0.20,0.70,B.Brown,,,P.Mathis,D.Dale,0.5,0.5,"8-B.Brown to DUK 33 for 2 yards (48-P.Mathis,94-D.Dale)."
Duke,2Q,5,71,25,3,run,0,not successful,0.27,,0.19,0.71,Q.Harris,,,C.Harris,D.Dale,0.5,0.5,"18-Q.Harris to DUK 33 for no gain (8-C.Harris,94-D.Dale)."
Alabama,2Q,7,73,42,1,pass,9,successful,,0.70,0.62,0.46,,T.Tagovailoa,H.Ruggs,L.Johnson,,1,,13-T.Tagovailoa complete to 11-H.Ruggs. 11-H.Ruggs to BAMA 42 for 9 yards (33-L.Johnson).
Alabama,2Q,7,74,43,2,run,0,not successful,0.50,,0.61,0.47,N.Harris,,,,,,,22-N.Harris to BAMA 42 for no gain.
Alabama,2Q,7,75,44,3,run,-2,not successful,0.47,,0.59,0.49,B.Robinson,,,T.McSwain,,1,,24-B.Robinson to BAMA 40 for -2 yards (95-T.McSwain).
Duke,2Q,6,77,27,1,run,8,successful,0.31,,0.23,0.73,Q.Harris,,,P.Surtain,X.McKinney,0.5,0.5,"18-Q.Harris to DUK 27 for 8 yards (2-P.Surtain,15-X.McKinney)."
Duke,2Q,6,78,28,2,pass,37,explosive,,0.14,0.26,0.70,,Q.Harris,S.Bracey,T.Diggs,,1,,18-Q.Harris complete to 11-S.Bracey. 11-S.Bracey to BAMA 36 for 37 yards (7-T.Diggs).
Duke,2Q,6,79,29,1,run,2,not successful,0.29,,0.25,0.71,Q.Harris,,,L.Ray,R.Davis,0.5,0.5,"18-Q.Harris to BAMA 34 for 2 yards (89-L.Ray,99-R.Davis)."
Duke,2Q,6,80,30,2,pass,15,successful,,0.25,0.28,0.68,,Q.Harris,A.Young,,,,,"18-Q.Harris incomplete. Intended for 81-A.Young. Penalty on BAMA 28-J.Jobe, Pass interference, 15 yards, enforced at BAMA 34. No Play."
Duke,2Q,6,81,31,1,pass,3,not successful,,0.22,0.27,0.65,,Q.Harris,D.Jackson,S.Lee,,1,,18-Q.Harris complete to 25-D.Jackson. 25-D.Jackson to BAMA 16 for 3 yards (35-S.Lee).
