team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Alabama,2Q,6,67,36,1,Normal,run,6,successful,0.53,,0.59,0.48,N.Harris,,,T.Williams,,1,,22-N.Harris to MSST 7 for 6 yards (13-T.Williams).
Alabama,2Q,6,68,37,2,Normal,pass,2,not successful,,0.59,0.58,0.47,,T.Tagovailoa,J.Jeudy,J.Landrews,,1,,13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy pushed ob at MSST 5 for 2 yards (11-J.Landrews).
Alabama,2Q,6,69,38,3,Normal,run,5,successful,0.56,,0.59,0.48,N.Harris,,,,,,, 22-N.Harris runs 5 yards for a touchdown.
Mississippi State,2Q,5,72,21,1,Red Zone,run,2,not successful,0.45,,0.39,0.61,I.Zuber,,,P.Surtain,,1,,12-I.Zuber pushed ob at MSST 18 for 2 yards (2-P.Surtain).
Mississippi State,2Q,5,73,22,2,Red Zone,pass,,not successful,,0.25,0.37,0.58,,T.Stevens,I.Zuber,,,,,7-T.Stevens incomplete. Intended for 12-I.Zuber.
Mississippi State,2Q,5,75,24,1,Normal,run,2,not successful,0.42,,0.35,0.60,K.Hill,,,A.Jennings,,1,,8-K.Hill to MSST 35 for 2 yards (33-A.Jennings).
Mississippi State,2Q,5,76,25,2,Normal,run,3,not successful,0.38,,0.33,0.62,K.Hill,,,S.Lee,,1,,8-K.Hill pushed ob at MSST 38 for 3 yards (35-S.Lee).
Mississippi State,2Q,5,77,26,3,Normal,pass,,not successful,,0.22,0.32,0.59,,T.Stevens,I.Zuber,,,,,7-T.Stevens incomplete. Intended for 12-I.Zuber.
Alabama,2Q,7,79,39,1,Normal,run,6,successful,0.59,,0.60,0.50,B.Robinson,,,M.Spencer,,1,,24-B.Robinson to BAMA 32 for 6 yards (42-M.Spencer).
Alabama,2Q,7,80,40,2,Normal,pass,,not successful,,0.56,0.58,0.49,,T.Tagovailoa,J.Waddle,,,,,13-T.Tagovailoa incomplete. Intended for 17-J.Waddle.
Alabama,2Q,7,81,41,3,Normal,pass,,not successful,,0.53,0.57,0.47,,T.Tagovailoa,,,,,,13-T.Tagovailoa incomplete.
