game,chart,team_num,offense,play_num,team_play,text,play_type,quarter,drive,down,red_zone,distance,yards,explosive,successful,uns_catches,uns,int,count,sr,xr,team_sr,team_xr,rr,rusher,passer,receiver,hex,hex_dark,extra_yards,avg_extra_yards
2023-09-02 Middle Tennessee at Alabama,teams,1,Alabama,,,,,,,,,,,9,36,,,,64,0.56,0.14,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,teams,2,Middle Tennessee,,,,,,,,,,,2,23,,,,61,0.38,0.03,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,play_type,1,Alabama,,,,Rush,,,,,,,4,22,,,,38,0.58,0.11,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,play_type,2,Middle Tennessee,,,,Rush,,,,,,,1,11,,,,23,0.48,0.04,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,play_type,1,Alabama,,,,Pass,,,,,,,5,14,,,,26,0.54,0.19,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,play_type,2,Middle Tennessee,,,,Pass,,,,,,,1,12,,,,38,0.32,0.03,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,quarter,1,Alabama,,,,,1Q,,,,,,3,15,,,,18,0.83,0.17,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,quarter,1,Alabama,,,,,2Q,,,,,,1,7,,,,17,0.41,0.06,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,quarter,1,Alabama,,,,,3Q,,,,,,3,4,,,,12,0.33,0.25,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,quarter,1,Alabama,,,,,4Q,,,,,,2,10,,,,17,0.59,0.12,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,quarter,2,Middle Tennessee,,,,,1Q,,,,,,0,5,,,,13,0.38,0,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,quarter,2,Middle Tennessee,,,,,2Q,,,,,,1,8,,,,22,0.36,0.05,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,quarter,2,Middle Tennessee,,,,,3Q,,,,,,1,7,,,,17,0.41,0.06,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,quarter,2,Middle Tennessee,,,,,4Q,,,,,,0,3,,,,9,0.33,0,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,down,1,Alabama,,,,,,,1D,,,,3,15,,,,29,0.52,0.1,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,down,1,Alabama,,,,,,,2D,,,,3,11,,,,22,0.5,0.14,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,down,1,Alabama,,,,,,,3D,,,,3,10,,,,13,0.77,0.23,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,down,2,Middle Tennessee,,,,,,,1D,,,,0,8,,,,24,0.33,0,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,down,2,Middle Tennessee,,,,,,,2D,,,,1,8,,,,21,0.38,0.05,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,down,2,Middle Tennessee,,,,,,,3D,,,,1,7,,,,16,0.44,0.06,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,red_zone,1,Alabama,,,,,,,,Other,,,9,27,,,,53,0.51,0.17,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,red_zone,1,Alabama,,,,,,,,Red zone,,,0,9,,,,11,0.82,0,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,red_zone,2,Middle Tennessee,,,,,,,,Other,,,2,21,,,,54,0.39,0.04,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,red_zone,2,Middle Tennessee,,,,,,,,Red zone,,,0,2,,,,7,0.29,0,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,distance,1,Alabama,,,,,,,,,0-3 yds,,0,9,,,,11,0.82,0,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,distance,1,Alabama,,,,,,,,,3-6 yds,,2,8,,,,11,0.73,0.18,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,distance,1,Alabama,,,,,,,,,7-9 yds,,3,4,,,,8,0.5,0.38,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,distance,1,Alabama,,,,,,,,,>=10 yds,,4,15,,,,34,0.44,0.12,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,distance,2,Middle Tennessee,,,,,,,,,0-3 yds,,1,7,,,,8,0.88,0.13,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,distance,2,Middle Tennessee,,,,,,,,,3-6 yds,,0,3,,,,5,0.6,0,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,distance,2,Middle Tennessee,,,,,,,,,7-9 yds,,0,4,,,,13,0.31,0,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,distance,2,Middle Tennessee,,,,,,,,,>=10 yds,,1,9,,,,35,0.26,0.03,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,1,Alabama,,,,,,3,,,,,3,5,,,,6,0.83,0.5,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,1,Alabama,,,,,,5,,,,,0,9,,,,11,0.82,0,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,1,Alabama,,,,,,7,,,,,0,2,,,,6,0.33,0,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,1,Alabama,,,,,,9,,,,,0,2,,,,6,0.33,0,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,1,Alabama,,,,,,11,,,,,0,1,,,,2,0.5,0,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,1,Alabama,,,,,,13,,,,,1,1,,,,1,1,1,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,1,Alabama,,,,,,15,,,,,0,2,,,,3,0.67,0,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,1,Alabama,,,,,,16,,,,,2,2,,,,6,0.33,0.33,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,1,Alabama,,,,,,18,,,,,1,2,,,,2,1,0.5,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,1,Alabama,,,,,,20,,,,,0,0,,,,3,0,0,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,1,Alabama,,,,,,21,,,,,2,6,,,,10,0.6,0.2,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,1,Alabama,,,,,,23,,,,,0,4,,,,6,0.67,0,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,1,Alabama,,,,,,25,,,,,0,0,,,,2,0,0,0,0,0,,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,2,Middle Tennessee,,,,,,1,,,,,1,7,,,,11,0.64,0.09,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,2,Middle Tennessee,,,,,,2,,,,,0,0,,,,3,0,0,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,2,Middle Tennessee,,,,,,4,,,,,0,0,,,,3,0,0,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,2,Middle Tennessee,,,,,,6,,,,,0,5,,,,7,0.71,0,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,2,Middle Tennessee,,,,,,8,,,,,1,3,,,,9,0.33,0.11,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,2,Middle Tennessee,,,,,,10,,,,,0,4,,,,6,0.67,0,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,2,Middle Tennessee,,,,,,12,,,,,0,0,,,,3,0,0,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,2,Middle Tennessee,,,,,,14,,,,,0,1,,,,4,0.25,0,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,2,Middle Tennessee,,,,,,17,,,,,0,0,,,,3,0,0,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,2,Middle Tennessee,,,,,,19,,,,,0,0,,,,3,0,0,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,2,Middle Tennessee,,,,,,22,,,,,0,1,,,,3,0.33,0,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,drive,2,Middle Tennessee,,,,,,24,,,,,0,2,,,,6,0.33,0,0,0,0,,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,rusher,1,Alabama,,,,,,,,,,,1,5,,4,,,0,0,0,0,0,Jase McClellan,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,rusher,1,Alabama,,,,,,,,,,,0,5,,2,,,0,0,0,0,0,Roydell Williams,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,rusher,1,Alabama,,,,,,,,,,,2,2,,1,,,0,0,0,0,0,Jalen Milroe,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,rusher,1,Alabama,,,,,,,,,,,0,2,,0,,,0,0,0,0,0,Ty Simpson,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,rusher,1,Alabama,,,,,,,,,,,1,1,,2,,,0,0,0,0,0,Justice Haynes,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,rusher,1,Alabama,,,,,,,,,,,0,1,,4,,,0,0,0,0,0,Richard Young,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,rusher,1,Alabama,,,,,,,,,,,0,1,,3,,,0,0,0,0,0,Jam Miller,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,rusher,1,Alabama,,,,,,,,,,,0,1,,0,,,0,0,0,0,0,Tyler Buchner,,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,rusher,2,Middle Tennessee,,,,,,,,,,,0,5,,3,,,0,0,0,0,0,Jekail Middlebrook,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,rusher,2,Middle Tennessee,,,,,,,,,,,1,2,,0,,,0,0,0,0,0,Nicholas Vattiato,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,rusher,2,Middle Tennessee,,,,,,,,,,,0,2,,2,,,0,0,0,0,0,Jaiden Credle,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,rusher,2,Middle Tennessee,,,,,,,,,,,0,1,,2,,,0,0,0,0,0,Frank Peasant,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,rusher,2,Middle Tennessee,,,,,,,,,,,0,0,,2,,,0,0,0,0,0,Raymond Banner,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,rusher,2,Middle Tennessee,,,,,,,,,,,0,0,,1,,,0,0,0,0,0,Braxton Crouse,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,rusher,2,Middle Tennessee,,,,,,,,,,,0,0,,1,,,0,0,0,0,0,DJ Riles,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,rusher,2,Middle Tennessee,,,,,,,,,,,0,0,,1,,,0,0,0,0,0,Kyle Lowe,,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,passer,1,Alabama,,,,,,,,,,,4,7,2,5,0,,0,0,0,0,0,,Jalen Milroe,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,passer,1,Alabama,,,,,,,,,,,1,1,1,2,0,,0,0,0,0,0,,Tyler Buchner,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,passer,1,Alabama,,,,,,,,,,,0,1,0,0,0,,0,0,0,0,0,,Ty Simpson,,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,passer,2,Middle Tennessee,,,,,,,,,,,1,10,10,10,1,,0,0,0,0,0,,Nicholas Vattiato,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,passer,2,Middle Tennessee,,,,,,,,,,,0,1,1,0,0,,0,0,0,0,0,,DJ Riles,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,passer,2,Middle Tennessee,,,,,,,,,,,0,0,1,0,0,,0,0,0,0,0,,Kyle Lowe,,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,receiver,1,Alabama,,,,,,,,,,,2,2,1,0,,,0,0,0,0,0,,,Isaiah Bond,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,receiver,1,Alabama,,,,,,,,,,,1,2,0,0,,,0,0,0,0,0,,,Jermaine Burton,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,receiver,1,Alabama,,,,,,,,,,,0,2,1,0,,,0,0,0,0,0,,,Kobe Prentice,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,receiver,1,Alabama,,,,,,,,,,,0,1,0,0,,,0,0,0,0,0,,,CJ Dippre,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,receiver,1,Alabama,,,,,,,,,,,0,1,0,0,,,0,0,0,0,0,,,Jalen Hale,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,receiver,1,Alabama,,,,,,,,,,,0,1,0,0,,,0,0,0,0,0,,,Roydell Williams,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,receiver,1,Alabama,,,,,,,,,,,2,0,0,0,,,0,0,0,0,0,,,Amari Niblack,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,receiver,1,Alabama,,,,,,,,,,,0,0,1,0,,,0,0,0,0,0,,,Malik Benson,#E82525CC,#5A0000CC,,0
2023-09-02 Middle Tennessee at Alabama,receiver,2,Middle Tennessee,,,,,,,,,,,0,2,2,0,,,0,0,0,0,0,,,Jaiden Credle,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,receiver,2,Middle Tennessee,,,,,,,,,,,0,2,1,0,,,0,0,0,0,0,,,DJ England-Chisolm,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,receiver,2,Middle Tennessee,,,,,,,,,,,0,2,0,0,,,0,0,0,0,0,,,Bryce Bailey,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,receiver,2,Middle Tennessee,,,,,,,,,,,0,2,0,0,,,0,0,0,0,0,,,Jacob Coleman,#2591F4CC,#004380CC,,0
2023-09-02 Middle Tennessee at Alabama,receiver,2,Middle Tennessee,,,,,,,,,,,0,1,1,0,,,0,0,0,0,0,,,AJ Toney,#2591F4CC,#004380CC,,0
