team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Notre Dame,3Q,7,89,42,1,Normal,run,0,not successful,0.42,,0.38,0.65,C.Flemister,,,W.Anderson,,1,, 20-C.Flemister to ND 10 for no gain (31-W.Anderson). 
Notre Dame,3Q,7,90,43,2,Normal,pass,6,not successful,,0.29,0.37,0.63,,I.Book,B.Skowronek,,,,, 12-I.Book complete to 11-B.Skowronek. 11-B.Skowronek to ND 16 for 6 yards. 
Notre Dame,3Q,7,91,44,3,Normal,pass,5,successful,,0.33,0.38,0.62,,I.Book,K.Williams,C.Harris,,1,, 12-I.Book complete to 23-K.Williams. 23-K.Williams to ND 21 for 5 yards (8-C.Harris). 
Notre Dame,3Q,7,92,45,1,Normal,run,3,not successful,0.40,,0.38,0.63,I.Book,,,C.Barmore,,1,, 12-I.Book scrambles to ND 24 for 3 yards (58-C.Barmore). 
Notre Dame,3Q,7,93,46,2,Normal,pass,10,successful,,0.38,0.39,0.61,,I.Book,M.Mayer,D.Hellams,,1,, 12-I.Book complete to 87-M.Mayer. 87-M.Mayer to ND 34 for 10 yards (29-D.Hellams). 
Notre Dame,3Q,7,94,47,1,Normal,run,3,not successful,0.38,,0.38,0.62,C.Tyree,,,P.Surtain,,1,, 25-C.Tyree to ND 37 for 3 yards (2-P.Surtain). 
Notre Dame,3Q,7,95,48,2,Normal,pass,,not successful,,0.35,0.37,0.60,,I.Book,,,,,, 12-I.Book incomplete. INTERCEPTED by 8-C.Harris at BAMA 38. 8-C.Harris to BAMA 38 for no gain. 
Alabama,3Q,7,96,38,1,Normal,pass,40,explosive,,0.76,0.67,0.42,,M.Jones,J.Metchie,,,,, 10-M.Jones complete to 8-J.Metchie. 8-J.Metchie runs ob at ND 22 for 40 yards. 
Alabama,3Q,7,98,40,1,Normal,pass,10,successful,,0.77,0.68,0.41,,M.Jones,N.Harris,D.White,,1,, 10-M.Jones complete to 22-N.Harris. 22-N.Harris pushed ob at ND 22 for 10 yards (40-D.White). 
Alabama,3Q,7,99,41,2,Normal,run,6,not successful,0.50,,0.66,0.42,N.Harris,,,H.Cross,D.White,0.5,0.5," 22-N.Harris to ND 16 for 6 yards (56-H.Cross,40-D.White). "
Alabama,3Q,7,100,42,3,Red Zone,run,9,successful,0.53,,0.67,0.44,M.Jones,,,,,,, 10-M.Jones scrambles to ND 7 for 9 yards. 
Alabama,3Q,7,101,43,1,Red Zone,pass,7,successful,,0.78,0.68,0.43,,M.Jones,D.Smith,,,,, 10-M.Jones complete to 6-D.Smith. 6-D.Smith runs 7 yards for a touchdown. 
Notre Dame,3Q,8,104,49,1,Normal,run,4,not successful,0.37,,0.36,0.61,B.Skowronek,,,,,,, 11-B.Skowronek runs ob at ND 29 for 4 yards. 
Notre Dame,3Q,8,105,50,2,Normal,no play,15,successful,,,0.38,,,,,,,,," 12-I.Book incomplete. Penalty on BAMA 47-B.Young, Roughing the passer, 15 yards, enforced at ND 29. No Play. "
Notre Dame,3Q,8,106,51,1,Normal,pass,-14,not successful,,0.33,0.37,0.60,,I.Book,,C.Barmore,,1,, 12-I.Book sacked at ND 30 for -14 yards (58-C.Barmore). 
Notre Dame,3Q,8,107,52,2,Normal,run,1,not successful,0.36,,0.36,0.61,K.Williams,,,C.Allen,T.Smith,0.5,0.5," 23-K.Williams to ND 31 for 1 yard (4-C.Allen,50-T.Smith). "
Notre Dame,3Q,8,108,53,3,Normal,pass,7,not successful,,0.32,0.35,0.60,,D.Pyne,B.Skowronek,D.Hellams,C.Harris,0.5,0.5," 10-D.Pyne complete to 11-B.Skowronek. 11-B.Skowronek to ND 38 for 7 yards (29-D.Hellams,8-C.Harris). "
Alabama,3Q,8,110,44,1,Normal,pass,11,successful,,0.79,0.68,0.41,,M.Jones,M.Forristall,S.Crawford,,1,, 10-M.Jones complete to 87-M.Forristall. 87-M.Forristall to BAMA 41 for 11 yards (20-S.Crawford). 
Alabama,3Q,8,111,45,1,Normal,run,1,not successful,0.50,,0.67,0.43,N.Harris,,,K.Hinish,D.White,0.5,0.5," 22-N.Harris to BAMA 42 for 1 yard (41-K.Hinish,40-D.White). "
Alabama,3Q,8,112,46,2,Normal,pass,14,successful,,0.80,0.67,0.42,,M.Jones,S.Bolden,J.Owusu-Koramoah,,1,, 10-M.Jones complete to 18-S.Bolden. 18-S.Bolden to ND 44 for 14 yards (6-J.Owusu-Koramoah). 
Alabama,3Q,8,113,47,1,Normal,pass,,not successful,,0.77,0.66,0.41,,M.Jones,N.Harris,,,,, 10-M.Jones incomplete. Intended for 22-N.Harris. 
Alabama,3Q,8,114,48,2,Normal,run,2,not successful,0.47,,0.64,0.42,N.Harris,,,D.White,,1,, 22-N.Harris to ND 42 for 2 yards (40-D.White). 
Alabama,4Q,9,115,49,3,Normal,run,13,successful,0.50,,0.65,0.43,N.Harris,,,K.Hamilton,,1,, 22-N.Harris to ND 29 for 13 yards (14-K.Hamilton). 
Alabama,4Q,9,116,50,1,Normal,pass,,not successful,,0.74,0.64,0.43,,M.Jones,D.Smith,,,,, 10-M.Jones incomplete. Intended for 6-D.Smith. 
Alabama,4Q,9,117,51,2,Normal,run,2,not successful,0.48,,0.63,0.44,B.Robinson,,,H.Cross,J.Owusu-Koramoah,0.5,0.5," 4-B.Robinson to ND 27 for 2 yards (56-H.Cross,6-J.Owusu-Koramoah). "
Alabama,4Q,9,118,52,3,Normal,pass,4,not successful,,0.71,0.61,0.43,,M.Jones,J.Billingsley,K.Hamilton,,1,, 10-M.Jones complete to 19-J.Billingsley. 19-J.Billingsley to ND 23 for 4 yards (14-K.Hamilton). 
Notre Dame,4Q,9,121,55,1,Normal,pass,18,explosive,,0.35,0.37,0.58,,I.Book,J.McKinley,,,,," 12-I.Book complete to 88-J.McKinley. 88-J.McKinley runs ob at ND 43 for 18 yards. Penalty on BAMA 32-D.Moses, Holding, declined. "
Notre Dame,4Q,9,122,56,1,Normal,pass,8,successful,,0.38,0.38,0.57,,I.Book,B.Skowronek,J.Battle,D.Hellams,0.5,0.5," 12-I.Book complete to 11-B.Skowronek. 11-B.Skowronek to BAMA 49 for 8 yards (9-J.Battle,29-D.Hellams). "
Notre Dame,4Q,9,123,57,2,Normal,run,7,successful,0.38,,0.39,0.58,K.Williams,,,J.Jobe,D.Hellams,0.5,0.5," 23-K.Williams to BAMA 42 for 7 yards (28-J.Jobe,29-D.Hellams). "
Notre Dame,4Q,9,124,58,1,Normal,pass,7,successful,,0.41,0.40,0.57,,I.Book,M.Mayer,D.Moses,J.Moody,0.5,0.5," 12-I.Book complete to 87-M.Mayer. 87-M.Mayer to BAMA 35 for 7 yards (32-D.Moses,42-J.Moody). "
Notre Dame,4Q,9,125,59,2,Normal,pass,4,successful,,0.43,0.42,0.56,,I.Book,C.Tyree,W.Anderson,,1,, 12-I.Book complete to 25-C.Tyree. 25-C.Tyree to BAMA 31 for 4 yards (31-W.Anderson). 
Notre Dame,4Q,9,126,60,1,Normal,pass,18,explosive,,0.46,0.43,0.55,,I.Book,M.Mayer,P.Surtain,,1,, 12-I.Book complete to 87-M.Mayer. 87-M.Mayer to BAMA 13 for 18 yards (2-P.Surtain). 
Notre Dame,4Q,9,128,62,1,Red Zone,pass,4,not successful,,0.44,0.42,0.54,,I.Book,M.Mayer,D.Hellams,,1,, 12-I.Book complete to 87-M.Mayer. 87-M.Mayer to BAMA 14 for 4 yards (29-D.Hellams). 
Notre Dame,4Q,9,129,63,2,Red Zone,run,1,not successful,0.37,,0.41,0.55,I.Book,,,B.Young,,1,, 12-I.Book scrambles to BAMA 13 for 1 yard (47-B.Young). 
Notre Dame,4Q,9,130,64,3,Red Zone,pass,,not successful,,0.42,0.40,0.54,,I.Book,B.Skowronek,,,,, 12-I.Book incomplete. Intended for 11-B.Skowronek. 
Notre Dame,4Q,9,131,65,4,Red Zone,pass,,not successful,,0.41,0.40,0.53,,I.Book,A.Davis,,,,, 12-I.Book incomplete. Intended for 3-A.Davis. 
Alabama,4Q,10,132,54,1,Normal,pass,10,successful,,0.72,0.62,0.42,,M.Jones,J.Metchie,K.Hamilton,J.Owusu-Koramoah,0.5,0.5," 10-M.Jones complete to 8-J.Metchie. 8-J.Metchie to BAMA 24 for 10 yards (14-K.Hamilton,6-J.Owusu-Koramoah). "
Alabama,4Q,10,133,55,1,Normal,run,2,not successful,0.45,,0.61,0.43,B.Robinson,,,J.Ademilola,D.White,0.5,0.5," 4-B.Robinson to BAMA 26 for 2 yards (57-J.Ademilola,40-D.White). "
Alabama,4Q,10,134,56,2,Normal,no play,15,successful,,,0.62,,,,,,,,," 10-M.Jones incomplete. Intended for 6-D.Smith. Penalty on ND 19-J.Ademilola, Roughing the passer, 15 yards, enforced at BAMA 26. No Play. "
Alabama,4Q,10,136,58,1,Normal,run,6,not successful,0.43,,0.60,0.44,B.Robinson,,,M.Liufau,,1,, 4-B.Robinson to BAMA 42 for 6 yards (35-M.Liufau). 
Alabama,4Q,10,137,59,2,Normal,pass,0,not successful,,0.70,0.59,0.43,,M.Jones,X.Williams,M.Liufau,R.Mills,0.5,0.5," 10-M.Jones complete to 3-X.Williams. 3-X.Williams to BAMA 42 for no gain (35-M.Liufau,99-R.Mills). "
Alabama,4Q,10,138,60,3,Normal,pass,0,not successful,,0.68,0.58,0.43,,M.Jones,,A.Ogundeji,J.Ademilola,0.5,0.5," 10-M.Jones sacked at BAMA 34 for -8 yards. Penalty on BAMA 10-M.Jones, Intentional grounding, 0 yards, enforced at BAMA 34. (91-A.Ogundeji,57-J.Ademilola). "
Notre Dame,4Q,10,140,66,1,Normal,pass,3,not successful,,0.39,0.39,0.52,,I.Book,C.Tyree,J.Moody,,1,, 12-I.Book complete to 25-C.Tyree. 25-C.Tyree to ND 23 for 3 yards (42-J.Moody). 
Notre Dame,4Q,10,141,67,2,Normal,pass,20,explosive,,0.41,0.40,0.51,,I.Book,L.Keys,D.Hellams,,1,, 12-I.Book complete to 13-L.Keys. 13-L.Keys to ND 43 for 20 yards (29-D.Hellams). 
Notre Dame,4Q,10,142,68,1,Normal,run,3,not successful,0.35,,0.39,0.52,C.Tyree,,,D.Moses,,1,, 25-C.Tyree to ND 46 for 3 yards (32-D.Moses). 
Notre Dame,4Q,10,143,69,2,Normal,pass,-1,not successful,,0.40,0.39,0.51,,I.Book,,D.Hellams,,1,, 12-I.Book sacked at ND 45 for -1 yard (29-D.Hellams). 
Notre Dame,4Q,10,144,70,3,Normal,pass,,not successful,,0.39,0.38,0.50,,I.Book,M.Mayer,,,,, 12-I.Book incomplete. Intended for 87-M.Mayer. 
Notre Dame,4Q,10,145,71,4,Normal,pass,15,explosive,,0.41,0.39,0.49,,I.Book,A.Davis,B.Branch,,1,, 12-I.Book complete to 3-A.Davis. 3-A.Davis to BAMA 40 for 15 yards (14-B.Branch). 
Notre Dame,4Q,10,146,72,1,Normal,pass,,not successful,,0.39,0.38,0.48,,I.Book,B.Skowronek,,,,, 12-I.Book incomplete. Intended for 11-B.Skowronek. 
Notre Dame,4Q,10,147,73,2,Normal,no play,15,successful,,,0.39,,,,,,,,," Team penalty on BAMA, Unsportsmanlike conduct, 15 yards, enforced at BAMA 40. No Play. "
Notre Dame,4Q,10,148,74,1,Normal,pass,2,not successful,,0.38,0.39,0.48,,I.Book,J.McKinley,J.Battle,,1,, 12-I.Book complete to 88-J.McKinley. 88-J.McKinley to BAMA 23 for 2 yards (9-J.Battle). 
Notre Dame,4Q,10,149,75,2,Normal,pass,10,successful,,0.40,0.40,0.47,,I.Book,M.Mayer,J.Battle,,1,, 12-I.Book complete to 87-M.Mayer. 87-M.Mayer to BAMA 13 for 10 yards (9-J.Battle). 
Notre Dame,4Q,10,150,76,1,Red Zone,pass,,not successful,,0.39,0.39,0.46,,I.Book,,,,,, 12-I.Book incomplete. 
Notre Dame,4Q,10,151,77,2,Red Zone,pass,5,not successful,,0.38,0.39,0.46,,I.Book,K.Williams,D.Wright,,1,, 12-I.Book complete to 23-K.Williams. 23-K.Williams pushed ob at BAMA 8 for 5 yards (3-D.Wright). 
Notre Dame,4Q,10,152,78,3,Red Zone,pass,7,successful,,0.39,0.39,0.45,,I.Book,M.Mayer,D.Moses,J.Jobe,0.5,0.5," 12-I.Book complete to 87-M.Mayer. 87-M.Mayer to BAMA 1 for 7 yards (32-D.Moses,28-J.Jobe). "
Notre Dame,4Q,10,153,79,1,Red Zone,run,0,not successful,0.34,,0.39,0.46,I.Book,,,J.Moody,,1,, 12-I.Book to BAMA 1 for no gain (42-J.Moody). 
Notre Dame,4Q,10,154,80,2,Red Zone,run,1,successful,0.36,,0.40,0.46,I.Book,,,,,,," 12-I.Book runs 1 yard for a touchdown. Penalty on BAMA 28-J.Jobe, Offside, declined. "
Notre Dame,4Q,11,157,81,1,Normal,pass,,not successful,,0.38,0.39,0.46,,I.Book,B.Skowronek,,,,, 12-I.Book incomplete. Intended for 11-B.Skowronek. 
Notre Dame,4Q,11,158,82,2,Normal,run,11,successful,0.38,,0.40,0.47,I.Book,,,,,,, 12-I.Book scrambles to BAMA 42 for 11 yards. 
Notre Dame,4Q,11,159,83,1,Normal,pass,14,successful,,0.40,0.41,0.46,,I.Book,J.McKinley,,,,," 12-I.Book incomplete. Intended for 88-J.McKinley. Penalty on BAMA 28-J.Jobe, Pass interference, 14 yards, enforced at BAMA 42. No Play. "
Notre Dame,4Q,11,160,84,1,Normal,pass,,not successful,,0.39,0.40,0.45,,I.Book,,,,,, 12-I.Book incomplete. 
Notre Dame,4Q,11,162,86,2,Normal,pass,3,not successful,,0.38,0.40,0.45,,I.Book,C.Tyree,,,,, 12-I.Book complete to 25-C.Tyree. 25-C.Tyree runs ob at BAMA 30 for 3 yards. 
Notre Dame,4Q,11,163,87,3,Normal,run,15,explosive,0.40,,0.41,0.45,I.Book,,,J.Battle,,1,," 12-I.Book scrambles, pushed ob at BAMA 15 for 15 yards (9-J.Battle). "
Notre Dame,4Q,11,164,88,1,Red Zone,pass,,not successful,,0.37,0.40,0.45,,I.Book,B.Skowronek,,,,, 12-I.Book incomplete. Intended for 11-B.Skowronek. 
