team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Alabama,2Q,8,105,44,1,Normal,pass,14,successful,,0.48,0.48,0.41,,M.Jones,M.Forristall,T.Stevenson,,1,, 10-M.Jones complete to 87-M.Forristall. 87-M.Forristall to UGA 47 for 14 yards (7-T.Stevenson). 
Alabama,2Q,8,106,45,1,Normal,pass,13,successful,,0.50,0.49,0.40,,M.Jones,J.Waddle,,,,, 10-M.Jones complete to 17-J.Waddle. 17-J.Waddle to UGA 34 for 13 yards. 
Georgia,3Q,9,109,49,1,Normal,run,8,successful,0.56,,0.42,0.37,K.Milton,,,D.Moses,D.Hellams,0.5,0.5," 22-K.Milton to UGA 47 for 8 yards (32-D.Moses,29-D.Hellams). "
Georgia,3Q,9,110,50,2,Normal,run,4,successful,0.59,,0.43,0.39,K.Milton,,,C.Barmore,,1,, 22-K.Milton to BAMA 49 for 4 yards (58-C.Barmore). 
Georgia,3Q,9,111,51,1,Normal,pass,0,not successful,,0.32,0.43,0.38,,S.Bennett,,C.Barmore,,1,," 13-S.Bennett sacked at UGA 49 for -2 yards, FUMBLES (58-C.Barmore). 13-S.Bennett to UGA 49 for no gain. "
Georgia,3Q,9,112,52,2,Normal,run,7,not successful,0.56,,0.42,0.39,Z.White,,,D.Hellams,W.Anderson,0.5,0.5," 3-Z.White to BAMA 44 for 7 yards (29-D.Hellams,31-W.Anderson). "
Georgia,3Q,9,113,53,3,Normal,pass,,not successful,,0.31,0.41,0.38,,S.Bennett,J.Burton,,,,, 13-S.Bennett incomplete. Intended for 7-J.Burton. 
Alabama,3Q,9,115,47,1,Normal,pass,13,successful,,0.52,0.50,0.39,,M.Jones,D.Smith,T.Campbell,,1,, 10-M.Jones complete to 6-D.Smith. 6-D.Smith to BAMA 23 for 13 yards (3-T.Campbell). 
Alabama,3Q,9,116,48,1,Normal,pass,,not successful,,0.50,0.49,0.38,,M.Jones,,,,,, 10-M.Jones incomplete. 
Alabama,3Q,9,117,49,2,Normal,pass,14,successful,,0.52,0.50,0.37,,M.Jones,D.Smith,M.Webb,,1,, 10-M.Jones complete to 6-D.Smith. 6-D.Smith pushed ob at BAMA 37 for 14 yards (23-M.Webb). 
Alabama,3Q,9,118,50,1,Normal,no play,10,successful,,,0.51,,,,,,,,," 10-M.Jones incomplete. Intended for 17-J.Waddle. Penalty on UGA 2-R.LeCounte, Holding, 10 yards, enforced at BAMA 37. No Play. "
Alabama,3Q,9,119,51,1,Normal,run,4,not successful,0.41,,0.50,0.39,N.Harris,,,Q.Walker,J.Rochester,0.5,0.5," 22-N.Harris to UGA 49 for 4 yards (25-Q.Walker,92-J.Rochester). "
Alabama,3Q,9,120,52,2,Normal,pass,10,successful,,0.54,0.51,0.38,,M.Jones,N.Harris,R.LeCounte,,1,, 10-M.Jones complete to 22-N.Harris. 22-N.Harris to UGA 39 for 10 yards (2-R.LeCounte). 
Alabama,3Q,9,121,53,1,Normal,pass,1,not successful,,0.52,0.50,0.37,,M.Jones,J.Waddle,J.Johnson,L.Cine,0.5,0.5," 10-M.Jones complete to 17-J.Waddle. 17-J.Waddle to UGA 38 for 1 yard (11-J.Johnson,16-L.Cine). "
Alabama,3Q,9,122,54,2,Normal,run,4,not successful,0.39,,0.49,0.38,N.Harris,,,M.Herring,,1,, 22-N.Harris to UGA 34 for 4 yards (10-M.Herring). 
Alabama,3Q,9,123,55,3,Normal,pass,-7,not successful,,0.50,0.48,0.38,,M.Jones,,N.Dean,,1,, 10-M.Jones sacked at UGA 41 for -7 yards (17-N.Dean). 
Georgia,3Q,10,125,55,1,Normal,run,4,not successful,0.53,,0.40,0.40,Z.White,,,D.Moses,D.Dale,0.5,0.5," 3-Z.White to UGA 13 for 4 yards (32-D.Moses,94-D.Dale). "
Georgia,3Q,10,126,56,2,Normal,run,5,successful,0.55,,0.41,0.41,Z.White,,,W.Anderson,D.Dale,0.5,0.5," 3-Z.White to UGA 18 for 5 yards (31-W.Anderson,94-D.Dale). "
Georgia,3Q,10,127,57,3,Normal,run,3,successful,0.57,,0.42,0.42,Z.White,,,D.Moses,J.Eboigbe,0.5,0.5," 3-Z.White to UGA 21 for 3 yards (32-D.Moses,92-J.Eboigbe). "
Georgia,3Q,10,128,58,1,Normal,pass,14,successful,,0.33,0.43,0.41,,S.Bennett,J.Burton,,,,, 13-S.Bennett complete to 7-J.Burton. 7-J.Burton to UGA 35 for 14 yards. 
Georgia,3Q,10,129,59,1,Normal,run,4,not successful,0.55,,0.43,0.42,J.Burton,,,J.Jobe,D.Hellams,0.5,0.5," 7-J.Burton to UGA 39 for 4 yards (28-J.Jobe,29-D.Hellams). "
Georgia,3Q,10,130,60,2,Normal,run,2,not successful,0.52,,0.42,0.43,J.Cook,,,J.Jobe,,1,, 4-J.Cook pushed ob at UGA 41 for 2 yards (28-J.Jobe). 
Georgia,3Q,10,131,61,3,Normal,pass,2,not successful,,0.32,0.41,0.43,,S.Bennett,G.Pickens,P.Surtain,,1,, 13-S.Bennett complete to 1-G.Pickens. 1-G.Pickens pushed ob at UGA 43 for 2 yards (2-P.Surtain). 
Alabama,3Q,10,133,57,1,Normal,run,1,not successful,0.37,,0.47,0.39,B.Robinson,,,J.Davis,T.Walker,0.5,0.5," 4-B.Robinson to BAMA 10 for 1 yard (99-J.Davis,44-T.Walker). "
Alabama,3Q,10,134,58,2,Normal,pass,90,explosive,,0.52,0.48,0.38,,M.Jones,J.Waddle,,,,, 10-M.Jones complete to 17-J.Waddle. 17-J.Waddle runs 90 yards for a touchdown. 
Georgia,3Q,11,137,63,1,Normal,pass,36,explosive,,0.34,0.42,0.42,,S.Bennett,J.Burton,D.Hellams,,1,, 13-S.Bennett complete to 7-J.Burton. 7-J.Burton pushed ob at BAMA 35 for 36 yards (29-D.Hellams). 
Georgia,3Q,11,138,64,1,Normal,run,10,successful,0.54,,0.43,0.43,J.Cook,,,M.Moore,,1,, 4-J.Cook to BAMA 25 for 10 yards (13-M.Moore). 
Georgia,3Q,11,139,65,1,Normal,pass,,not successful,,0.33,0.42,0.42,,S.Bennett,,,,,, 13-S.Bennett incomplete. 
Georgia,3Q,11,140,66,2,Normal,pass,,not successful,,0.32,0.42,0.41,,S.Bennett,G.Pickens,,,,, 13-S.Bennett incomplete. Intended for 1-G.Pickens. 
Georgia,3Q,11,141,67,3,Normal,pass,,not successful,,0.31,0.41,0.41,,S.Bennett,J.Burton,W.McClendon,,,," 13-S.Bennett incomplete. Intended for 7-J.Burton, INTERCEPTED by 13-M.Moore at BAMA 2. 13-M.Moore pushed ob at BAMA 44 for 42 yards (70-W.McClendon). "
Alabama,3Q,11,142,59,1,Normal,pass,11,successful,,0.53,0.49,0.37,,M.Jones,M.Forristall,N.Dean,,1,, 10-M.Jones complete to 87-M.Forristall. 87-M.Forristall to UGA 45 for 11 yards (17-N.Dean). 
Alabama,3Q,11,143,60,1,Normal,pass,34,explosive,,0.55,0.50,0.37,,M.Jones,D.Smith,,,,, 10-M.Jones complete to 6-D.Smith. 6-D.Smith to UGA 11 for 34 yards. 
Alabama,3Q,11,144,61,1,Red Zone,run,3,not successful,0.35,,0.49,0.38,N.Harris,,,M.Webb,J.Davis,0.5,0.5," 22-N.Harris to UGA 8 for 3 yards (23-M.Webb,99-J.Davis). "
Alabama,3Q,11,145,62,2,Red Zone,run,-2,not successful,0.33,,0.48,0.39,J.Waddle,,,R.LeCounte,,1,, 17-J.Waddle to UGA 10 for -2 yards (2-R.LeCounte). 
Alabama,3Q,11,146,63,3,Red Zone,pass,8,successful,,0.56,0.49,0.38,,M.Jones,D.Smith,,,,," 10-M.Jones incomplete. Intended for 6-D.Smith. Penalty on UGA 27-E.Stokes, Pass interference, 8 yards, enforced at UGA 10. No Play. "
Alabama,3Q,11,147,64,1,Red Zone,run,2,successful,0.36,,0.50,0.39,N.Harris,,,,,,, 22-N.Harris runs 2 yards for a touchdown. 
Georgia,3Q,12,151,69,1,Normal,pass,,not successful,,0.31,0.40,0.40,,S.Bennett,J.Burton,,,,, 13-S.Bennett incomplete. Intended for 7-J.Burton. 
Georgia,3Q,12,152,70,2,Normal,run,9,not successful,0.52,,0.40,0.41,Z.White,,,J.Jobe,D.Hellams,0.5,0.5," 3-Z.White to UGA 42 for 9 yards (28-J.Jobe,29-D.Hellams). "
Georgia,4Q,13,153,71,3,Normal,pass,10,not successful,,0.30,0.39,0.40,,S.Bennett,,,,,," 13-S.Bennett incomplete. INTERCEPTED by 3-D.Wright at BAMA 47. 3-D.Wright to UGA 35 for 18 yards. Penalty on BAMA 31-W.Anderson, Illegal block in the back, 10 yards, enforced at UGA 35. "
