team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Alabama,1Q,1,2,1,1,Normal,run,31,explosive,1.00,,1.00,1.00,#VALUE!,,,,,,,Yeldon rush middle for 31 yards to the Auburn45.
Alabama,1Q,1,3,2,1,Normal,pass,10,successful,,1.00,1.00,0.50,,#VALUE!,,,,,,McCarron pass completion to the right to Cooper for 10 yards to the Auburn35.
Alabama,1Q,1,4,3,1,Normal,run,5,successful,1.00,,1.00,0.67,#VALUE!,,,,,,,Yeldon rush middle for 5 yards to the Auburn30.
Alabama,1Q,1,5,4,2,Normal,run,3,not successful,0.67,,0.75,0.75,#VALUE!,,,,,,,Yeldon rush right for 3 yards to the Auburn27.
Alabama,1Q,1,6,5,3,Normal,run,-1,not successful,0.50,,0.60,0.80,1,,,,,,,Yeldon rush middle for -1 yard to the Auburn27.
Auburn,1Q,2,8,1,1,Normal,run,14,successful,1.00,,1.00,1.00,#VALUE!,,,,,,,Grant rush for 14 yards to the Auburn42.
Auburn,1Q,2,9,2,1,Normal,run,3,not successful,0.50,,0.50,1.00,#VALUE!,,,,,,,Mason rush middle for 3 yards to the Auburn45.
Auburn,1Q,2,10,3,2,Normal,run,3,not successful,0.33,,0.33,1.00,#VALUE!,,,,,,,Mason rush middle for 3 yards to the Auburn48.
Auburn,1Q,2,11,4,3,Normal,pass,,not successful,,0.00,0.25,0.75,,#VALUE!,,,,,,Marshall incomplete pass to the right.
Alabama,1Q,2,13,7,1,Normal,pass,6,successful,,1.00,0.67,0.67,,#VALUE!,,,,,,McCarron pass completion to the left to Cooper for 6 yards to the Ala26.
Alabama,1Q,2,14,8,2,Normal,run,1,not successful,0.40,,0.57,0.71,#VALUE!,,,,,,,Yeldon rush middle for 1 yard to the Ala27.
Alabama,1Q,2,15,9,3,Normal,pass,,not successful,,0.67,0.50,0.63,,#VALUE!,,,,,,McCarron incomplete pass to the middle.
Auburn,1Q,3,17,6,1,Normal,run,2,not successful,0.25,,0.20,0.80,#VALUE!,,,,,,,Marshall rush for 2 yards to the Auburn36.
Auburn,1Q,3,18,7,1,Normal,pass,2,not successful,,0.00,0.17,0.67,,#VALUE!,,,,,,Marshall pass completion to the right to Louis for 2 yards to the Auburn27.
Auburn,1Q,3,19,8,2,Normal,run,-2,not successful,0.20,,0.14,0.71,2,,,,,,,Grant rush for -2 yards to the Auburn26.
Auburn,1Q,3,20,9,3,Normal,pass,21,explosive,,0.33,0.25,0.63,,#VALUE!,,,,,,Marshall pass completion to the right to Coates for 21 yards to the Auburn47.
Auburn,1Q,3,21,10,1,Normal,run,7,successful,0.33,,0.33,0.67,#VALUE!,,,,,,,Mason rush for 7 yards to the Ala46.
Auburn,1Q,3,22,11,2,Normal,run,1,not successful,0.29,,0.30,0.70,#VALUE!,,,,,,,Mason rush middle for 1 yard to the Ala45.
Auburn,1Q,3,23,12,3,Normal,run,45,explosive,0.38,,0.36,0.73,#VALUE!,,,,,,, Marshall rush middle for 45 yards for a TOUCHDOWN.
Alabama,1Q,3,25,11,1,Normal,run,5,successful,0.50,,0.56,0.67,#VALUE!,,,,,,,Yeldon rush right for 5 yards to the Ala30.
Alabama,1Q,3,26,12,2,Normal,pass,,not successful,,0.50,0.50,0.60,,#VALUE!,,,,,,McCarron incomplete pass to the middle.
Alabama,1Q,3,27,13,3,Normal,pass,4,not successful,,0.40,0.45,0.55,,#VALUE!,,,,,,McCarron pass completion to the middle to White for 4 yards to the Ala34.
Auburn,1Q,4,29,13,1,Red Zone,run,8,successful,0.44,,0.42,0.75,#VALUE!,,,,,,,Mason rush for 8 yards to the Auburn24.
Auburn,1Q,4,30,14,2,Normal,run,5,successful,0.50,,0.46,0.77,#VALUE!,,,,,,,Marshall rush middle for 5 yards to the Auburn29.
Auburn,1Q,4,32,16,1,Normal,run,3,not successful,0.45,,0.43,0.79,#VALUE!,,,,,,,Mason rush middle for 3 yards to the Auburn32.
Auburn,1Q,4,33,17,2,Normal,pass,-10,not successful,,0.25,0.40,0.73,,10,,,,,,Marshall sacked by Allen for -10 yards to the Auburn22.
Auburn,1Q,4,34,18,3,Normal,run,2,not successful,0.42,,0.38,0.75,#VALUE!,,,,,,,Mason rush for 2 yards to the Auburn24.
Alabama,1Q,4,36,15,1,Normal,pass,,not successful,,0.33,0.42,0.50,,#VALUE!,,,,,,McCarron incomplete pass to the right.
Alabama,1Q,4,37,16,2,Normal,run,11,successful,0.57,,0.46,0.54,#VALUE!,,,,,,,Drake rush for 11 yards to the Ala44.
Alabama,1Q,4,38,17,1,Normal,run,9,successful,0.63,,0.50,0.57,#VALUE!,,,,,,,Drake rush middle for 9 yards to the Auburn47.
Alabama,2Q,5,39,18,2,Normal,run,6,successful,0.67,,0.53,0.60,#VALUE!,,,,,,, Drake rush middle for 6 yards to the Auburn41.
Alabama,2Q,5,40,19,1,Normal,pass,-6,not successful,,0.29,0.50,0.56,,6,,,,,,McCarron sacked by Wright for -6 yards to the Auburn47.
Alabama,2Q,5,41,20,2,Normal,pass,,not successful,,0.25,0.47,0.53,,#VALUE!,,,,,,McCarron incomplete pass to the left.
Alabama,2Q,5,42,21,3,Normal,pass,9,not successful,,0.22,0.44,0.50,,#VALUE!,,,,,,McCarron pass completion to the middle to White for 9 yards to the Auburn38.
Alabama,2Q,5,43,22,4,Normal,pass,11,successful,,0.30,0.47,0.47,,#VALUE!,,,,,,McCarron pass completion to the right to Howard for 11 yards to the Auburn22.
Alabama,2Q,5,44,23,1,Normal,pass,12,successful,,0.36,0.50,0.45,,#VALUE!,,,,,,McCarron pass completion to the left to Howard for 12 yards to the Auburn10.
Alabama,2Q,5,45,24,1,Red Zone,run,7,successful,0.70,,0.52,0.48,#VALUE!,,,,,,,Drake rush right for 7 yards to the Auburn3.
