team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Western Carolina,3Q,12,111,50,1,Normal,run,2,not successful,0.22,,0.32,0.53,D.Spencer,,,B.Young,,1,,20-D.Spencer to BAMA 41 for 2 yards (47-B.Young).
Western Carolina,3Q,12,112,51,2,Normal,pass,7,successful,,0.43,0.33,0.52,,T.Adams,D.Patten,D.Wright,,1,,12-T.Adams complete to 6-D.Patten. 6-D.Patten to BAMA 34 for 7 yards (3-D.Wright).
Western Carolina,3Q,12,113,52,3,Normal,run,10,successful,0.25,,0.35,0.53,D.Spencer,,,D.Wright,A.Kaho,0.5,0.5,"20-D.Spencer to BAMA 24 for 10 yards (3-D.Wright,10-A.Kaho)."
Western Carolina,3Q,12,114,53,1,Normal,run,1,not successful,0.24,,0.34,0.54,T.Adams,,,M.Benton,J.Eboigbe,0.5,0.5,"12-T.Adams to BAMA 23 for 1 yard (36-M.Benton,92-J.Eboigbe)."
Western Carolina,3Q,12,115,54,2,Normal,pass,,not successful,,0.41,0.33,0.53,,T.Adams,A.Phillips,,,,,12-T.Adams incomplete. Intended for 46-A.Phillips.
Western Carolina,3Q,12,116,55,3,Normal,run,2,not successful,0.23,,0.33,0.54,D.Spencer,,,B.Davis,,1,,20-D.Spencer to BAMA 21 for 2 yards (1-B.Davis).
Alabama,4Q,13,119,42,1,Normal,run,20,explosive,0.50,,0.62,0.58,K.Robinson,,,M.Murphy,,1,,2-K.Robinson to WC 43 for 20 yards (30-M.Murphy).
Alabama,4Q,13,120,43,1,Normal,run,0,not successful,0.48,,0.60,0.59,K.Robinson,,,R.Palao,,1,,2-K.Robinson to WC 43 for no gain (99-R.Palao).
Alabama,4Q,13,121,44,2,Normal,run,5,not successful,0.46,,0.59,0.60,K.Robinson,,,C.Roach,,1,,2-K.Robinson to WC 38 for 5 yards (33-C.Roach).
Alabama,4Q,13,122,45,3,Normal,run,9,successful,0.48,,0.60,0.61,K.Robinson,,,D.Smith,,1,,2-K.Robinson to WC 29 for 9 yards (58-D.Smith).
Alabama,4Q,13,123,46,1,Normal,run,5,successful,0.50,,0.60,0.62,K.Robinson,,,E.Jennette,,1,,2-K.Robinson to WC 24 for 5 yards (34-E.Jennette).
Alabama,4Q,13,124,47,2,Normal,run,4,successful,0.52,,0.61,0.63,J.Ford,,,J.White,,1,,27-J.Ford to WC 20 for 4 yards (22-J.White).
Alabama,4Q,13,125,48,3,Normal,run,8,successful,0.54,,0.62,0.64,J.Ford,,,C.Geffrard,,1,,27-J.Ford to WC 12 for 8 yards (48-C.Geffrard).
Alabama,4Q,13,126,49,1,Red Zone,run,4,not successful,0.52,,0.61,0.64,J.Ford,,,T.Harris,R.Jones,0.5,0.5,"27-J.Ford to WC 8 for 4 yards (37-T.Harris,17-R.Jones)."
Alabama,4Q,13,127,50,2,Red Zone,run,2,not successful,0.50,,0.60,0.65,J.Ford,,,R.Palao,,1,,27-J.Ford to WC 6 for 2 yards (99-R.Palao).
Alabama,4Q,13,128,51,3,Red Zone,run,6,successful,0.52,,0.60,0.66,J.Ford,,,,,,, 27-J.Ford runs 6 yards for a touchdown.
Western Carolina,4Q,14,131,57,1,Normal,run,7,successful,0.26,,0.34,0.55,C.Young,,,A.Kaho,,1,,5-C.Young to WC 32 for 7 yards (10-A.Kaho).
Western Carolina,4Q,14,132,58,2,Normal,run,0,not successful,0.25,,0.33,0.56,C.Young,,,B.Ingraham,,1,,5-C.Young to WC 32 for no gain (52-B.Ingraham).
Western Carolina,4Q,14,133,59,3,Normal,pass,,not successful,,0.39,0.33,0.55,,T.Adams,R.Jones,,,,,12-T.Adams incomplete. Intended for 17-R.Jones.
Alabama,4Q,14,135,52,1,Normal,run,8,successful,0.53,,0.61,0.67,D.Lockridge,,,C.Allison,,1,,35-D.Lockridge to BAMA 41 for 8 yards (41-C.Allison).
Alabama,4Q,14,136,53,2,Normal,run,4,successful,0.55,,0.62,0.67,D.Lockridge,,,C.Roach,J.Dandy,0.5,0.5,"35-D.Lockridge to BAMA 45 for 4 yards (33-C.Roach,67-J.Dandy)."
Alabama,4Q,14,137,54,1,Normal,run,9,successful,0.56,,0.63,0.68,C.Townsend,,,D.Cortner,,1,,12-C.Townsend to WC 46 for 9 yards (19-D.Cortner).
Alabama,4Q,14,138,55,2,Normal,run,5,successful,0.57,,0.63,0.69,C.Townsend,,,J.Mullen,,1,,12-C.Townsend to WC 41 for 5 yards (28-J.Mullen).
Alabama,4Q,14,139,56,1,Normal,run,6,successful,0.58,,0.64,0.69,C.Townsend,,,D.DeCruz,J.Shotwell,0.5,0.5,"12-C.Townsend to WC 35 for 6 yards (25-D.DeCruz,42-J.Shotwell)."
Alabama,4Q,14,140,57,2,Normal,run,3,successful,0.59,,0.65,0.70,C.Townsend,,,C.Allison,,1,,12-C.Townsend to WC 32 for 3 yards (41-C.Allison).
Alabama,4Q,14,141,58,3,Normal,run,-2,not successful,0.58,,0.64,0.70,C.Townsend,,,J.Wortham,,1,,12-C.Townsend to WC 34 for -2 yards (38-J.Wortham).
Alabama,4Q,14,142,59,4,Normal,run,3,successful,0.59,,0.64,0.71,C.Townsend,,,J.Mullen,,1,,12-C.Townsend to WC 31 for 3 yards (28-J.Mullen).
