team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Texas,3Q,6,83,39,2,pass,,not successful,,0.26,0.30,0.41,,S.Ehlinger,B.Eagles,,,,,11-S.Ehlinger incomplete. Intended for 13-B.Eagles.
Texas,3Q,6,84,40,3,pass,-10,not successful,,0.25,0.29,0.39,,S.Ehlinger,,K.Murray,,1,,11-S.Ehlinger sacked at TEX 16 for -10 yards (9-K.Murray).
Oklahoma,3Q,7,86,40,1,run,3,not successful,0.41,,0.38,0.59,R.Stevenson,,,T.Graham,,1,,29-R.Stevenson to OKL 38 for 3 yards (49-T.Graham).
Oklahoma,3Q,7,87,41,2,pass,,not successful,,0.31,0.37,0.58,,J.Hurts,T.Sermon,,,,,1-J.Hurts incomplete. Intended for 4-T.Sermon.
Oklahoma,3Q,7,88,42,3,pass,,not successful,,0.29,0.36,0.56,,J.Hurts,N.Basquine,,,,,1-J.Hurts incomplete. Intended for 83-N.Basquine.
Texas,3Q,7,90,42,1,run,2,not successful,0.29,,0.29,0.41,S.Ehlinger,,,R.Perkins,D.White,0.5,0.5,"11-S.Ehlinger to TEX 9 for 2 yards (7-R.Perkins,23-D.White)."
Texas,3Q,7,91,43,2,pass,19,explosive,,0.29,0.31,0.40,,S.Ehlinger,C.Johnson,J.Davis,,1,,11-S.Ehlinger complete to 9-C.Johnson. 9-C.Johnson to TEX 28 for 19 yards (4-J.Davis).
Texas,3Q,7,92,44,1,run,2,not successful,0.27,,0.30,0.42,R.Johnson,,,J.Terry,,1,,2-R.Johnson to TEX 30 for 2 yards (40-J.Terry).
Texas,3Q,7,93,45,2,run,0,not successful,0.25,,0.29,0.43,D.Duvernay,,,P.Fields,J.Davis,0.5,0.5,"6-D.Duvernay to TEX 30 for no gain (10-P.Fields,4-J.Davis)."
Texas,3Q,7,94,46,3,pass,9,successful,,0.32,0.31,0.42,,S.Ehlinger,R.Johnson,T.Brown,,1,,11-S.Ehlinger complete to 2-R.Johnson. 2-R.Johnson to TEX 39 for 9 yards (6-T.Brown).
Texas,3Q,7,95,47,1,run,57,explosive,0.29,,0.33,0.44,R.Johnson,,,D.Turner-Yell,,1,,2-R.Johnson pushed ob at OKL 4 for 57 yards (32-D.Turner-Yell).
Texas,3Q,7,96,48,1,run,4,successful,0.33,,0.34,0.45,R.Johnson,,,,,,, 2-R.Johnson runs 4 yards for a touchdown.
Oklahoma,3Q,8,99,44,1,pass,15,explosive,,0.33,0.38,0.55,,J.Hurts,C.Lamb,M.Roach,,1,,"1-J.Hurts complete to 2-C.Lamb. 2-C.Lamb to OKL 34 for 9 yards (32-M.Roach). Penalty on TEX 32-M.Roach, Personal Foul, 15 yards, enforced at OKL 34."
Oklahoma,3Q,8,100,45,1,run,0,not successful,0.39,,0.37,0.56,R.Stevenson,,,K.Coburn,,1,,29-R.Stevenson to OKL 49 for no gain (99-K.Coburn).
Oklahoma,3Q,8,101,46,2,pass,51,explosive,,0.37,0.38,0.55,,J.Hurts,C.Lamb,,,,, 1-J.Hurts complete to 2-C.Lamb. 2-C.Lamb runs 51 yards for a touchdown.
Texas,3Q,8,104,49,1,pass,,not successful,,0.30,0.33,0.44,,S.Ehlinger,C.Johnson,,,,,11-S.Ehlinger incomplete. Intended for 9-C.Johnson.
Texas,3Q,8,107,52,2,pass,,not successful,,0.29,0.33,0.43,,S.Ehlinger,B.Eagles,,,,,11-S.Ehlinger incomplete. Intended for 13-B.Eagles.
Texas,3Q,8,108,53,3,run,2,not successful,0.32,,0.32,0.44,S.Ehlinger,,,R.Perkins,,1,,11-S.Ehlinger to TEX 3 for 2 yards (7-R.Perkins).
Oklahoma,3Q,9,110,47,1,pass,7,successful,,0.40,0.40,0.53,,J.Hurts,C.Rambo,C.Brown,B.Jones,0.5,0.5,"1-J.Hurts complete to 14-C.Rambo. 14-C.Rambo pushed ob at TEX 31 for 7 yards (15-C.Brown,19-B.Jones)."
Oklahoma,3Q,9,111,48,2,pass,10,successful,,0.43,0.41,0.52,,J.Hurts,C.Rambo,D.Jamison,A.Adeoye,0.5,0.5,"1-J.Hurts complete to 14-C.Rambo. 14-C.Rambo pushed ob at TEX 21 for 10 yards (5-D.Jamison,40-A.Adeoye)."
Oklahoma,3Q,9,112,49,1,run,4,not successful,0.38,,0.40,0.53,C.Lamb,,,A.Adeoye,,1,,2-C.Lamb to TEX 17 for 4 yards (40-A.Adeoye).
Oklahoma,3Q,9,113,50,2,pass,,not successful,,0.41,0.39,0.52,,J.Hurts,B.Willis,,,,,1-J.Hurts incomplete. Intended for 81-B.Willis.
Oklahoma,3Q,9,114,51,3,pass,,not successful,,0.39,0.38,0.51,,J.Hurts,B.Willis,,,,,1-J.Hurts incomplete. Intended for 81-B.Willis.
Texas,3Q,9,117,55,1,pass,-5,not successful,,0.28,0.31,0.43,,S.Ehlinger,,J.Redmond,,1,,11-S.Ehlinger sacked at TEX 11 for -5 yards (31-J.Redmond).
Texas,3Q,9,118,56,2,pass,-3,not successful,,0.27,0.30,0.42,,S.Ehlinger,K.Ingram,B.Asamoah,,1,,11-S.Ehlinger complete to 26-K.Ingram. 26-K.Ingram to TEX 8 for -3 yards (24-B.Asamoah).
Texas,3Q,9,119,57,3,pass,,not successful,,0.26,0.30,0.41,,S.Ehlinger,M.Epps,,,,,11-S.Ehlinger incomplete. Intended for 85-M.Epps.
Oklahoma,3Q,10,121,53,1,run,-2,not successful,0.36,,0.38,0.52,K.Brooks,,,T.Graham,,1,,26-K.Brooks to TEX 50 for -2 yards (49-T.Graham).
Oklahoma,3Q,10,122,54,2,pass,,not successful,,0.38,0.37,0.51,,J.Hurts,L.Morris,,,,,1-J.Hurts incomplete. Intended for 84-L.Morris.
Oklahoma,3Q,10,123,55,3,pass,11,not successful,,0.36,0.36,0.50,,J.Hurts,C.Lamb,B.Jones,,1,,1-J.Hurts complete to 2-C.Lamb. 2-C.Lamb to TEX 39 for 11 yards (19-B.Jones).
Oklahoma,3Q,10,124,56,4,pass,,not successful,,0.35,0.35,0.49,,J.Hurts,C.Lamb,,,,,1-J.Hurts incomplete. Intended for 2-C.Lamb.
Texas,3Q,10,125,59,1,run,23,explosive,0.35,,0.31,0.43,R.Johnson,,,D.Turner-Yell,,1,,2-R.Johnson to OKL 37 for 23 yards (32-D.Turner-Yell).
Texas,3Q,10,126,60,1,run,3,not successful,0.33,,0.31,0.44,R.Johnson,,,D.White,,1,,2-R.Johnson to OKL 34 for 3 yards (23-D.White).
Texas,3Q,10,127,61,2,pass,12,successful,,0.29,0.32,0.43,,S.Ehlinger,C.Johnson,,,,,11-S.Ehlinger complete to 9-C.Johnson. 9-C.Johnson to OKL 22 for 12 yards.
Texas,3Q,10,128,62,1,run,1,not successful,0.32,,0.31,0.44,R.Johnson,,,D.White,,1,,2-R.Johnson to OKL 21 for 1 yard (23-D.White).
Texas,3Q,10,129,63,2,no play,10,successful,,,0.33,,,,,,,,,"11-S.Ehlinger incomplete. Intended for 9-C.Johnson. Penalty on OKL 6-T.Brown, Holding, 10 yards, enforced at OKL 21. No Play."
Texas,3Q,10,131,65,1,pass,14,successful,,0.31,0.34,0.43,,S.Ehlinger,C.Johnson,,,,,"11-S.Ehlinger incomplete. Intended for 9-C.Johnson. Penalty on OKL 6-T.Brown, Pass interference, 14 yards, enforced at OKL 16. No Play."
Texas,3Q,10,132,66,1,run,2,successful,0.35,,0.35,0.44,S.Ehlinger,,,,,,, 11-S.Ehlinger runs 2 yards for a touchdown.
Oklahoma,4Q,11,135,57,1,pass,25,explosive,,0.37,0.37,0.48,,J.Hurts,B.Willis,C.Brown,,1,,1-J.Hurts complete to 81-B.Willis. 81-B.Willis to OKL 50 for 25 yards (15-C.Brown).
Oklahoma,4Q,11,136,58,1,run,9,successful,0.38,,0.38,0.49,J.Hurts,,,,,,,1-J.Hurts scrambles to TEX 41 for 9 yards.
Oklahoma,4Q,11,137,59,2,run,2,successful,0.41,,0.39,0.50,J.Hurts,,,J.Mitchell,,1,,1-J.Hurts to TEX 39 for 2 yards (6-J.Mitchell).
