Team,Quarter,SuccessRate,SuccessMax,ExpRate,ExpMax
Alabama,1,0.53,0.53,0.11,0.13
Washington,1,0.50,0.53,0.13,0.13
Alabama,2,0.29,0.53,0.06,0.13
Washington,2,0.27,0.53,0.05,0.13
Alabama,3,0.18,0.53,0.06,0.13
Washington,3,0.09,0.53,0.00,0.13
Alabama,4,0.31,0.53,0.13,0.13
Washington,4,0.25,0.53,0.10,0.13
Alabama,Game,0.33,0.53,0.09,0.13
Washington,Game,0.29,0.53,0.07,0.13
