team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Alabama,3Q,8,119,52,1,Normal,pass,18,explosive,,0.54,0.63,0.41,,M.Jones,D.Smith,J.McCollough,,1,,10-M.Jones complete to 6-D.Smith. 6-D.Smith to TEN 23 for 18 yards (22-J.McCollough).
Alabama,3Q,8,120,53,1,Normal,run,9,successful,0.68,,0.63,0.42,N.Harris,,,Q.Crouch,,1,,22-N.Harris to TEN 14 for 9 yards (27-Q.Crouch).
Alabama,3Q,8,121,54,2,Red Zone,run,9,successful,0.70,,0.64,0.43,N.Harris,,,A.Taylor,,1,,22-N.Harris to TEN 5 for 9 yards (2-A.Taylor).
Alabama,3Q,8,122,55,1,Red Zone,run,-1,not successful,0.67,,0.63,0.45,N.Harris,,,D.Middleton,,1,,22-N.Harris to TEN 6 for -1 yard (97-D.Middleton).
Alabama,3Q,8,123,56,2,Red Zone,pass,6,successful,,0.56,0.63,0.44,,S.Bolden,M.Forristall,,,,, 18-S.Bolden complete to 87-M.Forristall. 87-M.Forristall runs 6 yards for a touchdown.
Tennessee,3Q,9,126,56,1,Normal,pass,15,successful,,0.38,0.41,0.42,,J.Guarantano,J.Jennings,,,,,"2-J.Guarantano incomplete. Intended for 15-J.Jennings. Penalty on BAMA 15-X.McKinney, Pass interference, 15 yards, enforced at TEN 23. No Play."
Tennessee,3Q,9,127,57,1,Normal,run,4,not successful,0.40,,0.40,0.43,E.Gray,,,C.Harris,P.Mathis,0.5,0.5,"3-E.Gray to TEN 42 for 4 yards (8-C.Harris,48-P.Mathis)."
Tennessee,3Q,9,128,58,2,Normal,run,1,not successful,0.38,,0.40,0.45,J.Guarantano,,,A.Jennings,,1,,"2-J.Guarantano scrambles, pushed ob at TEN 43 for 1 yard (33-A.Jennings)."
Tennessee,3Q,9,129,59,3,Normal,pass,-8,not successful,,0.37,0.39,0.44,,J.Guarantano,,T.Lewis,,1,,2-J.Guarantano sacked at TEN 35 for -8 yards (24-T.Lewis).
Alabama,3Q,9,131,57,1,Normal,run,6,successful,0.68,,0.64,0.45,B.Robinson,,,S.Shamburger,J.Peterson,0.5,0.5,"24-B.Robinson to BAMA 35 for 6 yards (12-S.Shamburger,6-J.Peterson)."
Alabama,3Q,9,132,58,2,Normal,penalty,-10,not successful,,,0.63,,,,,J.McCollough,,1,,"24-B.Robinson pushed ob at BAMA 41 for 6 yards (22-J.McCollough). Penalty on BAMA 74-J.Wills, Holding, 10 yards, enforced at BAMA 35. Team penalty on BAMA, Holding, declined."
Alabama,3Q,9,133,59,2,Normal,pass,8,not successful,,0.54,0.62,0.44,,M.Jones,H.Ruggs,M.Butler,,1,,10-M.Jones complete to 11-H.Ruggs. 11-H.Ruggs to BAMA 33 for 8 yards (94-M.Butler).
Alabama,3Q,9,134,60,3,Normal,run,4,not successful,0.65,,0.61,0.45,M.Jones,,,H.To'o To'o,,1,,10-M.Jones scrambles to BAMA 37 for 4 yards (11-H.To'o To'o).
Tennessee,3Q,10,136,61,1,Normal,run,5,successful,0.41,,0.40,0.45,T.Jordan,,,S.Carter,X.McKinney,0.5,0.5,"9-T.Jordan to TEN 39 for 5 yards (5-S.Carter,15-X.McKinney)."
Tennessee,4Q,11,137,62,2,Normal,run,1,not successful,0.39,,0.39,0.46,J.Jennings,,,A.Jennings,T.Musika,0.5,0.5,"15-J.Jennings to TEN 40 for 1 yard (33-A.Jennings,91-T.Musika)."
Tennessee,4Q,11,138,63,3,Normal,pass,13,successful,,0.39,0.40,0.45,,J.Guarantano,M.Callaway,P.Surtain,,1,,2-J.Guarantano complete to 1-M.Callaway. 1-M.Callaway to BAMA 47 for 13 yards (2-P.Surtain).
