team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Florida,2Q,6,81,46,2,pass,6,successful,,0.62,0.51,0.51,,K.Trask,V.Jefferson,,,,, 11-K.Trask complete to 12-V.Jefferson. 12-V.Jefferson runs 6 yards for a touchdown.
Florida,3Q,7,85,47,1,pass,20,explosive,,0.64,0.52,0.50,,K.Trask,V.Jefferson,,,,,11-K.Trask complete to 12-V.Jefferson. 12-V.Jefferson to FLA 45 for 20 yards.
Florida,3Q,7,86,48,1,pass,17,explosive,,0.65,0.53,0.49,,K.Trask,V.Jefferson,D.Stingley,,1,,11-K.Trask complete to 12-V.Jefferson. 12-V.Jefferson to LSU 38 for 17 yards (24-D.Stingley).
Florida,3Q,7,87,49,1,run,5,successful,0.43,,0.54,0.50,L.Perine,,,N.Farrell,T.Shelvin,0.5,0.5,"2-L.Perine to LSU 33 for 5 yards (92-N.Farrell,72-T.Shelvin)."
Florida,3Q,7,88,50,2,pass,12,successful,,0.67,0.55,0.49,,K.Trask,V.Jefferson,D.Stingley,,1,,11-K.Trask complete to 12-V.Jefferson. 12-V.Jefferson to LSU 21 for 12 yards (24-D.Stingley).
Florida,3Q,7,89,51,1,run,11,successful,0.46,,0.56,0.50,J.Hammond,,,J.Stevens,,1,,10-J.Hammond to LSU 10 for 11 yards (3-J.Stevens).
Florida,3Q,7,90,52,1,run,5,successful,0.48,,0.57,0.51,L.Perine,,,B.Fehoko,J.Stevens,0.5,0.5,"2-L.Perine to LSU 6 for 5 yards (91-B.Fehoko,3-J.Stevens)."
Florida,3Q,7,91,53,2,run,4,successful,0.50,,0.58,0.52,L.Perine,,,J.Stevens,,1,,2-L.Perine pushed ob at LSU 2 for 4 yards (3-J.Stevens).
Florida,3Q,7,92,54,3,pass,2,successful,,0.68,0.59,0.51,,K.Trask,V.Jefferson,,,,, 11-K.Trask complete to 12-V.Jefferson. 12-V.Jefferson runs 2 yards for a touchdown.
LSU,3Q,7,95,25,1,run,-2,not successful,0.55,,0.65,0.48,C.Edwards-Helaire,,,J.Zuniga,,1,,22-C.Edwards-Helaire to LSU 23 for -2 yards (92-J.Zuniga).
LSU,3Q,7,96,26,2,run,19,explosive,0.58,,0.67,0.50,J.Burrow,,,J.Moon,,1,,"9-J.Burrow scrambles, pushed ob at LSU 42 for 19 yards (7-J.Moon)."
LSU,3Q,7,97,27,1,pass,15,explosive,,0.77,0.68,0.48,,J.Burrow,J.Chase,B.Stewart,,1,,9-J.Burrow complete to 1-J.Chase. 1-J.Chase pushed ob at FLA 43 for 15 yards (2-B.Stewart).
LSU,3Q,7,98,28,1,pass,5,successful,,0.79,0.69,0.46,,J.Burrow,J.Jefferson,K.Elam,,1,,9-J.Burrow complete to 2-J.Jefferson. 2-J.Jefferson to FLA 38 for 5 yards (5-K.Elam).
LSU,3Q,7,99,29,2,pass,11,successful,,0.80,0.70,0.44,,J.Burrow,J.Chase,C.Henderson,,1,,9-J.Burrow complete to 1-J.Chase. 1-J.Chase to FLA 27 for 11 yards (1-C.Henderson).
LSU,3Q,7,100,30,1,pass,16,explosive,,0.81,0.71,0.43,,J.Burrow,J.Jefferson,A.Burney,,1,,9-J.Burrow complete to 2-J.Jefferson. 2-J.Jefferson pushed ob at FLA 11 for 16 yards (30-A.Burney).
LSU,3Q,7,101,31,1,run,1,not successful,0.54,,0.69,0.45,C.Edwards-Helaire,,,J.Moon,,1,,22-C.Edwards-Helaire to FLA 10 for 1 yard (7-J.Moon).
LSU,3Q,7,103,33,2,run,5,successful,0.57,,0.70,0.47,C.Edwards-Helaire,,,,,,, 22-C.Edwards-Helaire runs 5 yards for a touchdown.
Florida,3Q,8,107,56,1,run,1,not successful,0.48,,0.58,0.52,L.Perine,,,P.Queen,,1,,2-L.Perine to FLA 16 for 1 yard (8-P.Queen).
Florida,3Q,8,108,57,2,pass,,not successful,,0.65,0.57,0.51,,K.Trask,F.Swain,,,,,11-K.Trask incomplete. Intended for 16-F.Swain.
Florida,3Q,8,109,58,3,pass,-8,not successful,,0.63,0.56,0.50,,K.Trask,,M.Brooks,,1,,11-K.Trask sacked at FLA 8 for -8 yards (9-M.Brooks).
LSU,3Q,8,112,34,1,run,0,not successful,0.53,,0.68,0.48,T.Davis-Price,,,J.Zuniga,K.Campbell,0.5,0.5,"3-T.Davis-Price to LSU 48 for no gain (92-J.Zuniga,55-K.Campbell)."
LSU,3Q,8,113,35,2,pass,12,successful,,0.82,0.69,0.47,,J.Burrow,J.Jefferson,J.Houston,,1,,9-J.Burrow complete to 2-J.Jefferson. 2-J.Jefferson to FLA 40 for 12 yards (41-J.Houston).
