team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Florida,2Q,8,80,39,1,run,2,not successful,0.30,,0.34,0.29,M.Davis,,,M.Davidson,,1,,20-M.Davis to FLA 22 for 2 yards (3-M.Davidson).
Florida,2Q,8,81,40,2,run,8,successful,0.36,,0.36,0.31,M.Davis,,,Z.McClain,,1,,20-M.Davis to FLA 30 for 8 yards (35-Z.McClain).
Florida,2Q,8,82,41,1,run,4,not successful,0.33,,0.35,0.32,E.Jones,,,M.Davidson,Z.McClain,0.5,0.5,"5-E.Jones to FLA 34 for 4 yards (3-M.Davidson,35-Z.McClain)."
Florida,2Q,8,83,42,2,pass,,not successful,,0.35,0.34,0.32,,E.Jones,K.Pitts,,,,,5-E.Jones incomplete. Intended for 84-K.Pitts.
Florida,2Q,8,84,43,3,pass,-4,not successful,,0.33,0.33,0.31,,E.Jones,K.Pitts,J.Dinson,D.Thomas,0.5,0.5,"5-E.Jones complete to 84-K.Pitts. 84-K.Pitts to FLA 30 for -4 yards (20-J.Dinson,24-D.Thomas)."
Auburn,2Q,9,86,32,1,pass,,not successful,,0.17,0.16,0.52,,B.Nix,S.Williams,,,,,10-B.Nix incomplete. Intended for 18-S.Williams.
Auburn,2Q,9,87,33,2,pass,,not successful,,0.15,0.15,0.50,,B.Nix,S.Williams,,,,,10-B.Nix incomplete. Intended for 18-S.Williams.
Auburn,2Q,9,88,34,3,pass,,not successful,,0.14,0.15,0.48,,B.Nix,A.Schwartz,,,,,10-B.Nix incomplete. Intended for 5-A.Schwartz.
Florida,2Q,9,90,45,1,pass,,not successful,,0.32,0.33,0.30,,K.Trask,K.Pitts,,,,,11-K.Trask incomplete. Intended for 84-K.Pitts.
Florida,2Q,9,93,48,2,run,6,not successful,0.31,,0.32,0.32,L.Perine,,,J.Dinson,,1,,2-L.Perine to FLA 23 for 6 yards (20-J.Dinson).
Florida,2Q,9,94,49,3,pass,10,not successful,,0.31,0.31,0.31,,K.Trask,V.Jefferson,J.Davis,,1,,11-K.Trask complete to 12-V.Jefferson. 12-V.Jefferson to FLA 33 for 10 yards (13-J.Davis).
Florida,2Q,9,95,50,4,penalty,,not successful,,,0.30,,,,,,,,,"Team penalty on FLA, Delay of game, declined."
Florida,2Q,9,96,51,4,pass,,not successful,,0.30,0.30,0.30,,K.Trask,,,,,,11-K.Trask incomplete.
Florida,3Q,10,98,52,1,pass,,not successful,,0.29,0.29,0.30,,K.Trask,F.Swain,,,,,11-K.Trask incomplete. Intended for 16-F.Swain.
Florida,3Q,10,99,53,2,pass,,not successful,,0.28,0.28,0.29,,K.Trask,K.Pitts,,,,,11-K.Trask incomplete. Intended for 84-K.Pitts.
Florida,3Q,10,100,54,3,pass,12,successful,,0.30,0.30,0.28,,K.Trask,F.Swain,R.McCreary,,1,,11-K.Trask complete to 16-F.Swain. 16-F.Swain to FLA 37 for 12 yards (23-R.McCreary).
Florida,3Q,10,101,55,1,pass,3,not successful,,0.29,0.29,0.28,,K.Trask,K.Pitts,N.Igbinoghene,,1,,11-K.Trask complete to 84-K.Pitts. 84-K.Pitts to FLA 40 for 3 yards (4-N.Igbinoghene).
Florida,3Q,10,102,56,2,pass,7,successful,,0.31,0.31,0.27,,K.Trask,K.Pitts,J.Sherwood,,1,,11-K.Trask complete to 84-K.Pitts. 84-K.Pitts to FLA 47 for 7 yards (9-J.Sherwood).
Florida,3Q,10,103,57,2,pass,6,successful,,0.33,0.32,0.27,,K.Trask,K.Pitts,J.Sherwood,,1,,11-K.Trask complete to 84-K.Pitts. 84-K.Pitts to FLA 46 for 6 yards (9-J.Sherwood).
Florida,3Q,10,104,58,3,run,-1,not successful,0.29,,0.31,0.28,K.Trask,,,T.Truesdell,Z.McClain,0.5,0.5,"11-K.Trask to FLA 45 for -1 yard (94-T.Truesdell,35-Z.McClain)."
Auburn,3Q,10,106,36,1,run,4,not successful,0.14,,0.14,0.50,J.Whitlow,,,D.Reese II,L.Ancrum,0.5,0.5,"28-J.Whitlow to AUB 24 for 4 yards (33-D.Reese II,98-L.Ancrum)."
Auburn,3Q,10,107,37,2,run,5,successful,0.20,,0.17,0.52,B.Nix,,,A.Burney,J.Greenard,0.5,0.5,"10-B.Nix to AUB 29 for 5 yards (30-A.Burney,58-J.Greenard)."
Auburn,3Q,10,108,38,3,run,0,not successful,0.19,,0.17,0.53,J.Whitlow,,,D.Reese II,J.Moon,0.5,0.5,"28-J.Whitlow to AUB 29 for no gain (33-D.Reese II,7-J.Moon)."
Florida,3Q,11,110,60,1,pass,3,successful,,0.35,0.33,0.27,,K.Trask,V.Jefferson,,,,,"11-K.Trask incomplete. Intended for 12-V.Jefferson. Penalty on AUB 23-R.McCreary, Pass interference, 3 yards, enforced at FLA 33. No Play."
Florida,3Q,11,111,61,1,run,3,not successful,0.27,,0.32,0.29,M.Davis,,,J.Dinson,,1,,20-M.Davis to FLA 39 for 3 yards (20-J.Dinson).
Florida,3Q,11,112,62,2,pass,,not successful,,0.34,0.31,0.28,,K.Trask,T.Cleveland,,,,,11-K.Trask incomplete. Intended for 89-T.Cleveland.
Florida,3Q,11,113,63,3,pass,,not successful,,0.33,0.31,0.28,,K.Trask,J.Hammond,,,,,11-K.Trask incomplete. Intended for 10-J.Hammond.
Auburn,3Q,11,115,40,1,pass,12,successful,,0.20,0.19,0.52,,B.Nix,S.Cannella,M.Wilson,S.Davis,0.5,0.5,"10-B.Nix complete to 80-S.Cannella. 80-S.Cannella to AUB 32 for 12 yards (3-M.Wilson,31-S.Davis)."
Auburn,3Q,11,116,41,1,run,3,not successful,0.18,,0.19,0.53,J.Whitlow,,,Z.Carter,S.Davis,0.5,0.5,"28-J.Whitlow to AUB 35 for 3 yards (17-Z.Carter,31-S.Davis)."
Auburn,3Q,11,117,42,2,run,3,not successful,0.17,,0.18,0.55,J.Whitlow,,,J.Houston,J.Greenard,0.5,0.5,"28-J.Whitlow to AUB 38 for 3 yards (41-J.Houston,58-J.Greenard)."
Auburn,3Q,11,119,44,3,pass,,not successful,,0.19,0.18,0.53,,B.Nix,S.Williams,,,,,10-B.Nix incomplete. Intended for 18-S.Williams.
Florida,3Q,12,121,65,1,run,1,not successful,0.25,,0.30,0.29,L.Perine,,,O.Pappoe,K.Britt,0.5,0.5,"2-L.Perine to FLA 28 for 1 yard (10-O.Pappoe,33-K.Britt)."
Florida,3Q,12,122,66,2,pass,7,successful,,0.35,0.32,0.29,,K.Trask,V.Jefferson,,,,,"11-K.Trask incomplete. Intended for 12-V.Jefferson. Penalty on AUB 4-N.Igbinoghene, Pass interference, 7 yards, enforced at FLA 28. No Play."
Florida,3Q,12,123,67,1,pass,11,successful,,0.37,0.33,0.28,,K.Trask,V.Jefferson,,,,,"11-K.Trask incomplete. Intended for 12-V.Jefferson. Penalty on AUB 4-N.Igbinoghene, Pass interference, 11 yards, enforced at FLA 35. No Play."
Florida,3Q,12,124,68,1,pass,10,successful,,0.38,0.34,0.28,,K.Trask,F.Swain,,,,,11-K.Trask complete to 16-F.Swain. 16-F.Swain to AUB 44 for 10 yards.
Florida,3Q,12,126,70,1,pass,-3,not successful,,0.37,0.33,0.27,,K.Trask,,T.Moultry,,1,,11-K.Trask sacked at FLA 43 for -3 yards (55-T.Moultry).
Florida,3Q,12,127,71,2,run,3,not successful,0.24,,0.33,0.28,L.Perine,,,B.Bryant,O.Pappoe,0.5,0.5,"2-L.Perine to FLA 46 for 3 yards (1-B.Bryant,10-O.Pappoe)."
Florida,3Q,12,128,72,3,pass,4,not successful,,0.36,0.32,0.28,,K.Trask,T.Grimes,B.Bryant,J.Davis,0.5,0.5,"11-K.Trask complete to 8-T.Grimes. 8-T.Grimes to FLA 50 for 4 yards (1-B.Bryant,13-J.Davis)."
Auburn,3Q,12,130,46,1,run,1,not successful,0.16,,0.17,0.54,J.Whitlow,,,A.Shuler,D.Reese II,0.5,0.5,"28-J.Whitlow to AUB 6 for 1 yard (88-A.Shuler,33-D.Reese II)."
Auburn,3Q,12,131,47,2,run,14,successful,0.20,,0.19,0.56,J.Whitlow,,,T.Dean,V.Miller,0.5,0.5,"28-J.Whitlow to AUB 20 for 14 yards (21-T.Dean,51-V.Miller)."
Auburn,3Q,12,132,48,1,run,8,successful,0.24,,0.22,0.57,J.Whitlow,,,D.Reese II,T.Dean,0.5,0.5,"28-J.Whitlow to AUB 28 for 8 yards (33-D.Reese II,21-T.Dean)."
Auburn,3Q,12,133,49,2,run,9,successful,0.27,,0.24,0.58,J.Whitlow,,,D.Stiner,D.Reese II,0.5,0.5,"28-J.Whitlow to AUB 37 for 9 yards (13-D.Stiner,33-D.Reese II)."
Auburn,3Q,12,134,50,1,run,4,not successful,0.26,,0.23,0.59,K.Martin,,,K.Campbell,Z.Carter,0.5,0.5,"9-K.Martin to AUB 41 for 4 yards (55-K.Campbell,17-Z.Carter)."
Auburn,3Q,12,135,51,2,pass,46,explosive,,0.24,0.25,0.58,,B.Nix,S.Williams,,,,,10-B.Nix complete to 18-S.Williams. 18-S.Williams to FLA 13 for 46 yards.
Auburn,3Q,12,136,52,1,pass,3,not successful,,0.22,0.24,0.56,,B.Nix,S.Williams,J.Greenard,,1,,10-B.Nix complete to 18-S.Williams. 18-S.Williams to FLA 10 for 3 yards (58-J.Greenard).
Auburn,3Q,12,137,53,2,pass,,not successful,,0.21,0.24,0.55,,B.Nix,S.Williams,,,,,10-B.Nix incomplete. Intended for 18-S.Williams.
Auburn,3Q,12,139,55,3,pass,,not successful,,0.20,0.23,0.53,,B.Nix,,,,,,"10-B.Nix incomplete. INTERCEPTED by 13-D.Stiner at FLA End Zone. 13-D.Stiner, touchback."
Florida,3Q,13,140,74,1,run,2,not successful,0.22,,0.32,0.29,M.Davis,,,Z.McClain,J.Dinson,0.5,0.5,"20-M.Davis to FLA 22 for 2 yards (35-Z.McClain,20-J.Dinson)."
