team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Iowa,3Q,10,106,54,2,pass,15,explosive,,0.39,0.33,0.42,,N.Stanley,T.Tracy,B.Hawkins,,1,,4-N.Stanley complete to 3-T.Tracy. 3-T.Tracy to IOW 36 for 15 yards (20-B.Hawkins).
Iowa,3Q,10,107,55,1,pass,,not successful,,0.38,0.32,0.41,,N.Stanley,N.Wieting,,,,,4-N.Stanley incomplete. Intended for 39-N.Wieting.
Iowa,3Q,10,109,57,2,pass,0,not successful,,0.37,0.31,0.40,,N.Stanley,T.Tracy,K.Hudson,,1,,4-N.Stanley complete to 3-T.Tracy. 3-T.Tracy to IOW 26 for no gain (7-K.Hudson).
Iowa,3Q,10,110,58,3,pass,-1,not successful,,0.35,0.31,0.39,,N.Stanley,M.Sargent,L.Hill,,1,,4-N.Stanley complete to 10-M.Sargent. 10-M.Sargent to IOW 25 for -1 yard (24-L.Hill).
Michigan,3Q,10,112,47,1,pass,2,not successful,,0.25,0.33,0.47,,S.Patterson,D.Peoples-Jones,G.Stone,N.Niemann,0.5,0.5,"2-S.Patterson complete to 9-D.Peoples-Jones. 9-D.Peoples-Jones to MICH 21 for 2 yards (9-G.Stone,49-N.Niemann)."
Michigan,3Q,10,113,48,2,run,2,not successful,0.37,,0.33,0.49,C.Turner,,,K.Welch,C.Lattimore,0.5,0.5,"3-C.Turner to MICH 23 for 2 yards (34-K.Welch,95-C.Lattimore)."
Michigan,3Q,10,114,49,3,run,10,successful,0.40,,0.34,0.50,S.Patterson,,,T.Roberts,,1,,"2-S.Patterson scrambles, pushed ob at MICH 33 for 10 yards (16-T.Roberts)."
Michigan,3Q,10,115,50,1,run,-9,not successful,0.38,,0.33,0.51,D.Peoples-Jones,,,N.Niemann,,1,,9-D.Peoples-Jones to MICH 24 for -9 yards (49-N.Niemann).
Michigan,3Q,10,116,51,2,pass,-7,not successful,,0.24,0.33,0.50,,S.Patterson,,C.Golston,,1,,2-S.Patterson sacked at MICH 17 for -7 yards (57-C.Golston).
Michigan,3Q,10,117,52,3,pass,8,not successful,,0.23,0.32,0.49,,S.Patterson,Z.Charbonnet,C.Golston,D.Colbert,0.5,0.5,"2-S.Patterson complete to 24-Z.Charbonnet. 24-Z.Charbonnet to MICH 25 for 8 yards (57-C.Golston,32-D.Colbert)."
Iowa,3Q,11,119,60,1,pass,27,explosive,,0.38,0.32,0.38,,N.Stanley,I.Smith-Marsette,J.Metellus,,1,,4-N.Stanley complete to 6-I.Smith-Marsette. 6-I.Smith-Marsette to MICH 40 for 27 yards (14-J.Metellus).
Iowa,3Q,11,120,61,1,run,5,successful,0.29,,0.33,0.40,M.Sargent,,,C.McGrone,,1,,10-M.Sargent to MICH 35 for 5 yards (44-C.McGrone).
Iowa,3Q,11,121,62,2,pass,-4,not successful,,0.36,0.33,0.39,,N.Stanley,,M.Danna,,1,,4-N.Stanley sacked at MICH 39 for -4 yards (4-M.Danna).
Iowa,4Q,12,122,63,3,pass,,not successful,,0.35,0.32,0.38,,N.Stanley,M.Sargent,,,,,4-N.Stanley incomplete. Intended for 10-M.Sargent.
Michigan,4Q,11,124,54,1,pass,10,successful,,0.26,0.33,0.48,,S.Patterson,N.Collins,G.Stone,M.Ojemudia,0.5,0.5,"2-S.Patterson complete to 4-N.Collins. 4-N.Collins to MICH 30 for 10 yards (9-G.Stone,11-M.Ojemudia)."
Michigan,4Q,11,125,55,1,run,2,not successful,0.36,,0.33,0.49,C.Turner,,,K.Welch,,1,,3-C.Turner to MICH 32 for 2 yards (34-K.Welch).
Michigan,4Q,11,126,56,2,pass,10,successful,,0.29,0.34,0.48,,S.Patterson,D.Peoples-Jones,,,,,2-S.Patterson complete to 9-D.Peoples-Jones. 9-D.Peoples-Jones runs ob at MICH 42 for 10 yards.
Michigan,4Q,11,127,57,1,pass,20,explosive,,0.32,0.35,0.47,,S.Patterson,T.Black,J.Koerner,,1,,2-S.Patterson complete to 7-T.Black. 7-T.Black pushed ob at IOW 38 for 20 yards (28-J.Koerner).
Michigan,4Q,11,128,58,1,run,8,successful,0.39,,0.37,0.48,T.Wilson,,,N.Niemann,,1,,13-T.Wilson to IOW 30 for 8 yards (49-N.Niemann).
Michigan,4Q,11,129,59,2,run,11,successful,0.42,,0.38,0.49,T.Wilson,,,J.Koerner,,1,,13-T.Wilson to IOW 19 for 11 yards (28-J.Koerner).
Michigan,4Q,11,130,60,1,pass,,not successful,,0.31,0.37,0.48,,S.Patterson,M.Sainristil,,,,,2-S.Patterson incomplete. Intended for 19-M.Sainristil.
Michigan,4Q,11,131,61,2,run,3,not successful,0.40,,0.37,0.49,C.Turner,,,C.Golston,,1,,3-C.Turner to IOW 16 for 3 yards (57-C.Golston).
Michigan,4Q,11,132,62,3,pass,,not successful,,0.30,0.36,0.48,,S.Patterson,R.Bell,,,,,2-S.Patterson incomplete. Intended for 8-R.Bell.
Iowa,4Q,13,134,65,1,pass,12,successful,,0.37,0.33,0.38,,N.Stanley,I.Smith-Marsette,B.Hawkins,,1,,4-N.Stanley complete to 6-I.Smith-Marsette. 6-I.Smith-Marsette to IOW 32 for 12 yards (20-B.Hawkins).
Iowa,4Q,13,135,66,1,no play,10,successful,,,0.34,,,,,,,,,"4-N.Stanley incomplete. Intended for 12-B.Smith. Penalty on MICH 24-L.Hill, Holding, 10 yards, enforced at IOW 32. No Play."
Iowa,4Q,13,136,67,1,pass,6,successful,,0.39,0.36,0.37,,N.Stanley,T.Goodson,J.Glasgow,,1,,4-N.Stanley complete to 15-T.Goodson. 15-T.Goodson to IOW 48 for 6 yards (29-J.Glasgow).
Iowa,4Q,13,137,68,2,pass,-9,not successful,,0.38,0.35,0.36,,N.Stanley,,J.Glasgow,,1,,4-N.Stanley sacked at IOW 39 for -9 yards (29-J.Glasgow).
Iowa,4Q,13,138,69,3,pass,-12,not successful,,0.37,0.34,0.36,,N.Stanley,,C.McGrone,,1,,4-N.Stanley sacked at IOW 27 for -12 yards (44-C.McGrone).
Michigan,4Q,12,140,64,1,run,4,not successful,0.38,,0.35,0.49,Z.Charbonnet,,,A.Schulte,C.Lattimore,0.5,0.5,"24-Z.Charbonnet to MICH 44 for 4 yards (74-A.Schulte,95-C.Lattimore)."
Michigan,4Q,12,141,65,2,run,3,not successful,0.37,,0.35,0.50,Z.Charbonnet,,,K.Welch,,1,,24-Z.Charbonnet to MICH 47 for 3 yards (34-K.Welch).
Michigan,4Q,12,142,66,3,pass,,not successful,,0.29,0.34,0.49,,S.Patterson,T.Black,,,,,2-S.Patterson incomplete. Intended for 7-T.Black.
Iowa,4Q,14,145,71,1,pass,9,successful,,0.38,0.35,0.35,,N.Stanley,N.Ragaini,J.Metellus,,1,,4-N.Stanley complete to 89-N.Ragaini. 89-N.Ragaini to IOW 42 for 9 yards (14-J.Metellus).
Iowa,4Q,14,146,72,2,run,2,successful,0.32,,0.37,0.36,T.Goodson,,,M.Danna,J.Uche,0.5,0.5,"15-T.Goodson to IOW 44 for 2 yards (4-M.Danna,6-J.Uche)."
Iowa,4Q,14,147,73,1,pass,31,explosive,,0.40,0.38,0.35,,N.Stanley,T.Goodson,J.Metellus,,1,,4-N.Stanley complete to 15-T.Goodson. 15-T.Goodson to MICH 25 for 31 yards (14-J.Metellus).
Iowa,4Q,14,150,76,1,pass,5,not successful,,0.39,0.37,0.35,,N.Stanley,T.Tracy,K.Hudson,V.Gray,0.5,0.5,"4-N.Stanley complete to 3-T.Tracy. 3-T.Tracy to MICH 40 for 5 yards (7-K.Hudson,31-V.Gray)."
Iowa,4Q,14,151,77,2,pass,6,not successful,,0.38,0.36,0.34,,N.Stanley,N.Ragaini,J.Glasgow,,1,,"4-N.Stanley complete to 89-N.Ragaini. 89-N.Ragaini to MICH 34 for 6 yards (29-J.Glasgow). Penalty on IOW 39-N.Wieting, Ineligible player downfield during passing down, declined."
Iowa,4Q,14,153,79,3,pass,-12,not successful,,0.37,0.36,0.34,,N.Stanley,,C.McGrone,A.Hutchinson,0.5,0.5,"4-N.Stanley sacked at IOW 49 for -12 yards (44-C.McGrone,97-A.Hutchinson)."
Michigan,4Q,13,155,69,1,run,4,not successful,0.36,,0.33,0.50,S.Patterson,,,C.Golston,,1,,2-S.Patterson to MICH 19 for 4 yards (57-C.Golston).
Michigan,4Q,13,156,70,2,run,0,not successful,0.34,,0.33,0.51,Z.Charbonnet,,,A.Epenesa,,1,,24-Z.Charbonnet to MICH 19 for no gain (94-A.Epenesa).
Michigan,4Q,13,157,71,3,run,4,not successful,0.33,,0.32,0.52,S.Patterson,,,K.Welch,B.Smith,0.5,0.5,"2-S.Patterson to MICH 23 for 4 yards (34-K.Welch,12-B.Smith)."
Iowa,4Q,15,160,81,1,pass,,not successful,,0.36,0.35,0.33,,N.Stanley,B.Smith,,,,,4-N.Stanley incomplete. Intended for 12-B.Smith.
Iowa,4Q,15,161,82,2,pass,,not successful,,0.36,0.35,0.33,,N.Stanley,B.Smith,,,,,4-N.Stanley incomplete. Intended for 12-B.Smith.
Iowa,4Q,15,162,83,3,pass,2,not successful,,0.35,0.34,0.32,,N.Stanley,I.Smith-Marsette,C.McGrone,,1,,4-N.Stanley complete to 6-I.Smith-Marsette. 6-I.Smith-Marsette to IOW 45 for 2 yards (44-C.McGrone).
Iowa,4Q,15,163,84,4,pass,11,successful,,0.36,0.35,0.32,,N.Stanley,N.Ragaini,A.Thomas,J.Glasgow,0.5,0.5,"4-N.Stanley complete to 89-N.Ragaini. 89-N.Ragaini to MICH 44 for 11 yards (1-A.Thomas,29-J.Glasgow)."
Iowa,4Q,15,164,85,1,pass,,not successful,,0.35,0.35,0.31,,N.Stanley,I.Smith-Marsette,,,,,4-N.Stanley incomplete. Intended for 6-I.Smith-Marsette.
Iowa,4Q,15,165,86,2,pass,,not successful,,0.35,0.34,0.31,,N.Stanley,N.Ragaini,,,,,4-N.Stanley incomplete. Intended for 89-N.Ragaini.
Iowa,4Q,15,166,87,3,pass,,not successful,,0.34,0.34,0.31,,N.Stanley,N.Wieting,,,,,4-N.Stanley incomplete. Intended for 39-N.Wieting.
Iowa,4Q,15,167,88,4,pass,-1,not successful,,0.33,0.33,0.30,,N.Stanley,T.Goodson,D.Hill,,1,,4-N.Stanley complete to 15-T.Goodson. 15-T.Goodson to MICH 45 for -1 yard (30-D.Hill).
