team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
South Carolina,2Q,3,52,21,1,pass,3,not successful,,0.50,0.47,0.37,,R.Hilinski,R.Dowdle,J.Reed,,1,,3-R.Hilinski complete to 5-R.Dowdle. 5-R.Dowdle to UGA 47 for 3 yards (20-J.Reed).
South Carolina,2Q,3,53,22,2,run,1,not successful,0.38,,0.45,0.40,T.Feaster,,,N.Dean,,1,,4-T.Feaster to UGA 46 for 1 yard (17-N.Dean).
South Carolina,2Q,3,54,23,3,pass,5,not successful,,0.46,0.43,0.38,,R.Hilinski,K.Markway,E.Stokes,,1,,3-R.Hilinski complete to 84-K.Markway. 84-K.Markway to UGA 41 for 5 yards (27-E.Stokes).
Georgia,2Q,5,57,26,1,run,12,successful,0.69,,0.63,0.57,Z.White,,,D.Wonnum,,1,,3-Z.White to UGA 24 for 12 yards (8-D.Wonnum).
Georgia,2Q,5,58,27,1,run,4,not successful,0.64,,0.60,0.58,Z.White,,,E.Jones,D.Staley,0.5,0.5,"3-Z.White to UGA 28 for 4 yards (53-E.Jones,30-D.Staley)."
Georgia,2Q,5,59,28,2,run,7,successful,0.67,,0.62,0.60,Z.White,,,E.Jones,D.Staley,0.5,0.5,"3-Z.White to UGA 35 for 7 yards (53-E.Jones,30-D.Staley)."
Georgia,2Q,5,60,29,1,pass,,not successful,,0.45,0.59,0.58,,J.Fromm,Z.White,,,,,11-J.Fromm incomplete. Intended for 3-Z.White.
Georgia,2Q,5,61,30,2,run,5,not successful,0.63,,0.57,0.59,D.Swift,,,K.Smith,,1,,7-D.Swift to UGA 40 for 5 yards (95-K.Smith).
Georgia,2Q,5,62,31,3,pass,18,explosive,,0.50,0.59,0.57,,J.Fromm,L.Cager,,,,,11-J.Fromm complete to 15-L.Cager. 15-L.Cager to SC 42 for 18 yards.
Georgia,2Q,5,63,32,1,pass,,not successful,,0.46,0.57,0.55,,J.Fromm,G.Pickens,,,,,11-J.Fromm incomplete. Intended for 1-G.Pickens.
Georgia,2Q,5,64,33,2,pass,-2,not successful,,0.43,0.55,0.53,,J.Fromm,J.Cook,S.Greene,,1,,11-J.Fromm complete to 4-J.Cook. 4-J.Cook to SC 44 for -2 yards (44-S.Greene).
Georgia,2Q,5,65,34,3,pass,6,not successful,,0.40,0.53,0.52,,J.Fromm,T.Simmons,A.Sterling,D.Wonnum,0.5,0.5,"11-J.Fromm complete to 87-T.Simmons. 87-T.Simmons to SC 38 for 6 yards (15-A.Sterling,8-D.Wonnum)."
Georgia,2Q,5,66,35,4,pass,,not successful,,0.38,0.52,0.50,,J.Fromm,D.Robertson,,,,,11-J.Fromm incomplete. Intended for 16-D.Robertson.
South Carolina,2Q,4,67,26,1,pass,0,not successful,,0.43,0.41,0.36,,R.Hilinski,S.Smith,T.Crowder,A.Ojulari,0.5,0.5,"3-R.Hilinski complete to 13-S.Smith. 13-S.Smith to SC 38 for no gain (30-T.Crowder,13-A.Ojulari)."
South Carolina,2Q,4,68,27,2,pass,11,successful,,0.47,0.43,0.35,,R.Hilinski,C.Dawkins,E.Stokes,,1,,3-R.Hilinski complete to 83-C.Dawkins. 83-C.Dawkins to SC 49 for 11 yards (27-E.Stokes).
South Carolina,2Q,4,69,28,1,run,13,successful,0.44,,0.46,0.38,R.Dowdle,,,J.Reed,,1,,5-R.Dowdle to UGA 38 for 13 yards (20-J.Reed).
South Carolina,2Q,4,70,29,1,run,3,not successful,0.40,,0.44,0.40,R.Dowdle,,,T.Crowder,M.Rice,0.5,0.5,"5-R.Dowdle to UGA 35 for 3 yards (30-T.Crowder,32-M.Rice)."
South Carolina,2Q,4,71,30,2,pass,,not successful,,0.44,0.42,0.38,,R.Hilinski,N.Muse,,,,,3-R.Hilinski incomplete. Intended for 9-N.Muse.
South Carolina,2Q,4,72,31,3,pass,3,not successful,,0.41,0.41,0.37,,R.Hilinski,S.Smith,D.Wilson,,1,,3-R.Hilinski complete to 13-S.Smith. 13-S.Smith to UGA 32 for 3 yards (1-D.Wilson).
Georgia,2Q,6,75,36,1,run,5,successful,0.65,,0.53,0.52,D.Swift,,,A.Sterling,,1,,7-D.Swift to UGA 30 for 5 yards (15-A.Sterling).
Georgia,2Q,6,76,37,2,run,1,not successful,0.61,,0.51,0.53,D.Swift,,,J.Kinlaw,E.Jones,0.5,0.5,"7-D.Swift to UGA 31 for 1 yard (3-J.Kinlaw,53-E.Jones)."
