Team,Quarter,SuccessRate,SuccessMax,ExpRate,ExpMax
Alabama,1,0.50,0.62,0.13,0.15
Mississippi St.,1,0.43,0.62,0.04,0.15
Alabama,2,0.35,0.62,0.12,0.15
Mississippi St.,2,0.42,0.62,0.05,0.15
Alabama,3,0.33,0.62,0.11,0.15
Mississippi St.,3,0.45,0.62,0.10,0.15
Alabama,4,0.62,0.62,0.15,0.15
Mississippi St.,4,0.27,0.62,0.07,0.15
Alabama,Game,0.48,0.62,0.13,0.15
Mississippi St.,Game,0.40,0.62,0.06,0.15
