Team,Quarter,SuccessRate,SuccessMax,ExpRate,ExpMax
Alabama,1,0.71,0.77,0.24,0.25
Fresno State,1,0.46,0.77,0.15,0.25
Alabama,2,0.77,0.77,0.08,0.25
Fresno State,2,0.41,0.77,0.00,0.25
Alabama,3,0.65,0.77,0.12,0.25
Fresno State,3,0.50,0.77,0.00,0.25
Alabama,4,0.50,0.77,0.25,0.25
Fresno State,4,0.50,0.77,0.09,0.25
Alabama,Game,0.66,0.77,0.18,0.25
Fresno State,Game,0.47,0.77,0.06,0.25
