team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Alabama,4Q,12,139,49,1,Normal,run,16,explosive,0.50,,0.57,0.42,B.Robinson,,,K.Carper,,1,, 4-B.Robinson to TXAM 44 for 16 yards (14-K.Carper). 
Alabama,4Q,12,140,50,1,Normal,run,2,not successful,0.47,,0.56,0.43,B.Robinson,,,L.O'Neal,,1,, 4-B.Robinson to TXAM 42 for 2 yards (9-L.O'Neal). 
Alabama,4Q,12,141,51,2,Normal,pass,15,successful,,0.62,0.57,0.42,,M.Jones,J.Metchie,,,,," 10-M.Jones incomplete. Intended for 8-J.Metchie. Penalty on TXAM 17-J.Jones, Pass interference, 15 yards, enforced at TXAM 42. No Play. "
Alabama,4Q,12,142,52,1,Normal,pass,9,successful,,0.63,0.57,0.41,,M.Jones,D.Smith,L.O'Neal,,1,, 10-M.Jones complete to 6-D.Smith. 6-D.Smith to TXAM 18 for 9 yards (9-L.O'Neal). 
Alabama,4Q,12,143,53,2,Red Zone,run,7,successful,0.50,,0.58,0.43,B.Robinson,,,A.White,B.Johnson,0.5,0.5," 4-B.Robinson to TXAM 11 for 7 yards (32-A.White,1-B.Johnson). "
Alabama,4Q,12,144,54,1,Red Zone,run,5,successful,0.52,,0.59,0.44,B.Robinson,,,M.Jackson,B.Brown,0.5,0.5," 4-B.Robinson to TXAM 6 for 5 yards (35-M.Jackson,5-B.Brown). "
Alabama,4Q,12,145,55,2,Red Zone,run,-2,not successful,0.50,,0.58,0.45,B.Robinson,,,A.Hansford,,1,, 4-B.Robinson to TXAM 8 for -2 yards (33-A.Hansford). 
Alabama,4Q,12,146,56,3,Red Zone,pass,,not successful,,0.61,0.57,0.44,,M.Jones,M.Forristall,,,,, 10-M.Jones incomplete. Intended for 87-M.Forristall. 
Texas A&M,4Q,11,149,72,1,Normal,pass,43,explosive,,0.43,0.44,0.37,,K.Mond,A.Smith,J.Jobe,,1,, 11-K.Mond complete to 0-A.Smith. 0-A.Smith to BAMA 32 for 43 yards (28-J.Jobe). 
Texas A&M,4Q,11,150,73,1,Normal,run,0,not successful,0.42,,0.43,0.38,K.Mond,,,C.Harris,,1,, 11-K.Mond scrambles to BAMA 32 for no gain (8-C.Harris). 
