team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,run_xr,pass_sr,pass_xr,total_sr,total_xr,run_rate,runner,passer,receiver,play_description
Alabama,2Q,7,75,43,1,Red Zone,pass,11,successful,,,0.61,0.22,0.59,0.17,0.56,,McCarron,Lacy, McCarron pass completion to the middle to Lacy for 11 yards for a TOUCHDOWN.
Notre Dame,2Q,7,77,28,1,Normal,pass,,not successful,,,0.44,0.06,0.38,0.08,0.33,,Golson,,Golson incomplete pass to the left.
Notre Dame,2Q,7,78,29,2,Normal,pass,6,not successful,,,0.41,0.06,0.36,0.08,0.32,,Golson,Eifert,Golson pass completion to the left to Eifert for 6 yards to the ND25.
Notre Dame,3Q,8,80,30,1,Normal,run,6,successful,0.33,0.11,,,0.38,0.08,0.35,Riddick,,,Riddick rush middle for 6 yards to the ND31.
Notre Dame,3Q,8,81,31,2,Normal,pass,21,explosive,,,0.44,0.11,0.41,0.11,0.33,,Golson,Daniels,Golson pass completion to the left to Daniels for 21 yards to the Ala48.
Notre Dame,3Q,8,82,32,1,Normal,pass,9,successful,,,0.47,0.11,0.43,0.11,0.32,,Golson,Jones,Golson pass completion to the right to Jones for 9 yards to the Ala39.
Notre Dame,3Q,8,83,33,2,Normal,run,3,successful,0.40,0.10,,,0.45,0.10,0.34,Riddick,,,Riddick rush right for 3 yards to the Ala36.
Notre Dame,3Q,8,84,34,1,Normal,pass,,not successful,,,0.45,0.10,0.43,0.10,0.33,,Golson,,Golson incomplete pass to the left.
Notre Dame,3Q,8,85,35,2,Normal,,,not successful,,,,,0.42,0.10,,,,,Golson pass to the right intercepted by Clinton-Dix
Alabama,3Q,9,86,44,1,Red Zone,run,4,not successful,0.54,0.13,,,0.57,0.17,0.57,Lacy,,,Lacy rush for 4 yards to the Ala7.
Alabama,3Q,9,87,45,2,Red Zone,run,16,explosive,0.56,0.16,,,0.58,0.19,0.58,Lacy,,,Lacy rush for 16 yards to the Ala23.
Alabama,3Q,9,88,46,1,Normal,pass,12,successful,,,0.63,0.21,0.59,0.18,0.57,,McCarron,Norwood,McCarron pass completion to the right to Norwood for 12 yards to the Ala35.
Alabama,3Q,9,89,47,1,Normal,run,6,successful,0.58,0.15,,,0.60,0.18,0.58,Yeldon,,,Yeldon rush for 6 yards to the Ala41.
Alabama,3Q,9,90,48,2,Normal,pass,13,successful,,,0.65,0.20,0.61,0.17,0.57,,McCarron,Jones,McCarron pass completion to the middle to Jones for 13 yards to the ND46.
Alabama,3Q,9,91,49,1,Normal,run,5,successful,0.59,0.15,,,0.62,0.17,0.57,Yeldon,,,Yeldon rush left for 5 yards to the ND41.
Alabama,3Q,9,92,50,2,Normal,run,3,not successful,0.57,0.14,,,0.60,0.17,0.58,Yeldon,,,Yeldon rush for 3 yards to the ND38.
