team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Alabama,1Q,1,2,1,1,Normal,pass,12,successful,,1.00,1.00,0.00,,J.Hurts,G.Dieter,S.Roberts,,1,,2-J.Hurts complete to 11-G.Dieter. 11-G.Dieter to BAMA 37 for 12 yards (14-S.Roberts).
Alabama,1Q,1,3,2,1,Normal,pass,,not successful,,0.50,0.50,0.00,,J.Hurts,C.Ridley,,,,,2-J.Hurts incomplete. Intended for 3-C.Ridley.
Alabama,1Q,1,4,3,2,Normal,run,6,not successful,0.00,,0.33,0.33,D.Harris,,,M.Davidson,,1,,34-D.Harris to BAMA 43 for 6 yards (3-M.Davidson).
Alabama,1Q,1,5,4,3,Normal,pass,,not successful,,0.33,0.25,0.25,,J.Hurts,A.Stewart,,,,,2-J.Hurts incomplete. Intended for 13-A.Stewart.
Auburn,1Q,1,7,1,1,Normal,pass,,not successful,,0.00,0.00,0.00,,J.Johnson,D.Slayton,,,,,6-J.Johnson incomplete. Intended for 81-D.Slayton.
Auburn,1Q,1,8,2,2,Normal,pass,-3,not successful,,0.00,0.00,0.00,,C.Cox,J.Franklin,J.Allen,R.Foster,0.5,0.5,"27-C.Cox complete to 5-J.Franklin. 5-J.Franklin to BAMA 24 for -3 yards (93-J.Allen,10-R.Foster)."
Auburn,1Q,1,9,3,3,Normal,pass,,not successful,,0.00,0.00,0.00,,J.Johnson,T.Stevens,,,,,6-J.Johnson incomplete. Intended for 8-T.Stevens.
Alabama,1Q,2,12,6,1,Normal,pass,7,successful,,0.50,0.40,0.20,,J.Hurts,T.Diggs,S.Roberts,,1,,2-J.Hurts complete to 7-T.Diggs. 7-T.Diggs to BAMA 32 for 7 yards (14-S.Roberts).
Alabama,1Q,2,14,8,2,Normal,run,-4,not successful,0.00,,0.33,0.33,J.Hurts,,,J.Davis,,1,,2-J.Hurts to BAMA 23 for -4 yards (31-J.Davis).
Alabama,1Q,2,15,9,3,Normal,run,17,explosive,0.33,,0.43,0.43,J.Hurts,,,D.Davis,T.Williams,0.5,0.5,"2-J.Hurts scrambles to BAMA 40 for 17 yards (57-D.Davis,30-T.Williams)."
