team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
North Carolina,3Q,9,106,40,1,run,3,not successful,0.29,,0.31,0.44,M.Carter,,,D.Johnson,B.Spector,0.5,0.5,"8-M.Carter to NC 30 for 3 yards (14-D.Johnson,10-B.Spector)."
North Carolina,3Q,9,107,41,2,run,8,successful,0.33,,0.33,0.45,M.Carter,,,D.Johnson,,1,,8-M.Carter to NC 38 for 8 yards (14-D.Johnson).
North Carolina,3Q,9,108,42,1,run,4,not successful,0.31,,0.32,0.47,M.Carter,,,J.Venables,B.Spector,0.5,0.5,"8-M.Carter to NC 42 for 4 yards (15-J.Venables,10-B.Spector)."
North Carolina,3Q,9,109,43,2,pass,,not successful,,0.32,0.31,0.46,,S.Howell,D.Brown,,,,,7-S.Howell incomplete. Intended for 2-D.Brown.
North Carolina,3Q,9,110,44,3,pass,,not successful,,0.30,0.31,0.44,,S.Howell,D.Brown,,,,,7-S.Howell incomplete. Intended for 2-D.Brown.
Clemson,3Q,10,112,57,1,run,5,successful,0.52,,0.46,0.52,L.Dixon,,,A.Cater,C.Kelly,0.5,0.5,"23-L.Dixon to CLE 15 for 5 yards (33-A.Cater,9-C.Kelly)."
Clemson,3Q,10,113,58,2,pass,,not successful,,0.38,0.45,0.51,,T.Lawrence,J.Ross,,,,,16-T.Lawrence incomplete. Intended for 8-J.Ross.
Clemson,3Q,10,114,59,3,pass,,not successful,,0.36,0.44,0.50,,T.Lawrence,T.Higgins,,,,,16-T.Lawrence incomplete. Intended for 5-T.Higgins.
North Carolina,3Q,10,116,46,1,run,12,successful,0.35,,0.32,0.46,J.Williams,,,K.Wallace,,1,,25-J.Williams to NC 43 for 12 yards (12-K.Wallace).
North Carolina,3Q,10,117,47,1,run,3,not successful,0.33,,0.32,0.47,S.Howell,,,N.Turner,,1,,7-S.Howell to NC 46 for 3 yards (24-N.Turner).
North Carolina,3Q,10,118,48,2,pass,-9,not successful,,0.29,0.31,0.46,,S.Howell,,I.Simmons,,1,,7-S.Howell sacked at NC 37 for -9 yards (11-I.Simmons).
North Carolina,3Q,10,119,49,3,pass,-4,not successful,,0.27,0.30,0.45,,S.Howell,,T.Davis,,1,,7-S.Howell sacked at NC 33 for -4 yards (13-T.Davis).
Clemson,3Q,11,121,61,1,pass,,not successful,,0.35,0.43,0.49,,T.Lawrence,J.Ross,,,,,16-T.Lawrence incomplete. Intended for 8-J.Ross.
Clemson,3Q,11,122,62,2,pass,-1,not successful,,0.33,0.42,0.48,,T.Lawrence,T.Etienne,A.Cater,,1,,16-T.Lawrence complete to 9-T.Etienne. 9-T.Etienne to CLE 29 for -1 yard (33-A.Cater).
Clemson,3Q,11,123,63,3,pass,,not successful,,0.32,0.42,0.47,,T.Lawrence,T.Higgins,,,,,16-T.Lawrence incomplete. Intended for 5-T.Higgins.
North Carolina,3Q,11,125,51,1,run,1,not successful,0.32,,0.29,0.46,M.Carter,,,A.Terrell,J.Mascoll,0.5,0.5,"8-M.Carter to NC 30 for 1 yard (8-A.Terrell,7-J.Mascoll)."
North Carolina,4Q,12,126,52,2,run,6,not successful,0.30,,0.29,0.48,M.Carter,,,N.Pinckney,K.Wallace,0.5,0.5,"8-M.Carter to NC 36 for 6 yards (44-N.Pinckney,12-K.Wallace)."
North Carolina,4Q,12,127,53,3,pass,10,successful,,0.30,0.30,0.47,,S.Howell,D.Newsome,K.Wallace,,1,,7-S.Howell complete to 5-D.Newsome. 5-D.Newsome to NC 46 for 10 yards (12-K.Wallace).
North Carolina,4Q,12,128,54,1,run,9,successful,0.33,,0.32,0.48,M.Carter,,,A.Terrell,,1,,8-M.Carter pushed ob at CLE 45 for 9 yards (8-A.Terrell).
North Carolina,4Q,12,129,55,2,pass,,not successful,,0.29,0.31,0.47,,S.Howell,,,,,,7-S.Howell incomplete.
North Carolina,4Q,12,130,56,3,run,0,not successful,0.32,,0.30,0.48,S.Howell,,,I.Simmons,J.Foster,0.5,0.5,"7-S.Howell to CLE 45 for no gain (11-I.Simmons,35-J.Foster)."
North Carolina,4Q,12,131,57,4,run,0,not successful,0.30,,0.30,0.49,J.Williams,,,I.Simmons,N.Turner,0.5,0.5,"25-J.Williams to CLE 45 for no gain (11-I.Simmons,24-N.Turner)."
Clemson,4Q,12,132,65,1,run,7,successful,0.54,,0.43,0.48,T.Lawrence,,,D.Ross,,1,,16-T.Lawrence to NC 48 for 7 yards (3-D.Ross).
Clemson,4Q,12,133,66,2,pass,,not successful,,0.31,0.42,0.47,,T.Lawrence,,,,,,16-T.Lawrence incomplete.
Clemson,4Q,12,134,67,3,pass,6,successful,,0.33,0.43,0.46,,T.Lawrence,J.Chalk,T.Fox,,1,,16-T.Lawrence complete to 25-J.Chalk. 25-J.Chalk to NC 42 for 6 yards (12-T.Fox).
Clemson,4Q,12,135,68,1,run,7,successful,0.56,,0.44,0.47,T.Lawrence,,,A.Crawford,C.Kelly,0.5,0.5,"16-T.Lawrence to NC 35 for 7 yards (92-A.Crawford,9-C.Kelly)."
Clemson,4Q,12,137,70,2,run,2,not successful,0.54,,0.43,0.48,T.Lawrence,,,T.Fox,,1,,16-T.Lawrence scrambles to NC 38 for 2 yards (56-T.Fox).
Clemson,4Q,12,138,71,3,pass,38,explosive,,0.35,0.44,0.47,,T.Lawrence,T.Higgins,,,,, 16-T.Lawrence complete to 5-T.Higgins. 5-T.Higgins runs 38 yards for a touchdown.
North Carolina,4Q,13,141,58,1,run,0,not successful,0.29,,0.29,0.50,J.Williams,,,J.Foster,,1,,25-J.Williams to NC 25 for no gain (35-J.Foster).
North Carolina,4Q,13,142,59,2,run,5,not successful,0.28,,0.29,0.51,S.Howell,,,X.Thomas,J.Skalski,0.5,0.5,"7-S.Howell scrambles to NC 30 for 5 yards (3-X.Thomas,47-J.Skalski)."
North Carolina,4Q,13,143,60,3,pass,12,successful,,0.32,0.30,0.50,,S.Howell,D.Brown,D.Kendrick,,1,,7-S.Howell complete to 2-D.Brown. 2-D.Brown to NC 42 for 12 yards (1-D.Kendrick).
North Carolina,4Q,13,144,61,1,pass,,not successful,,0.31,0.29,0.49,,S.Howell,D.Newsome,,,,,7-S.Howell incomplete. Intended for 5-D.Newsome.
North Carolina,4Q,13,145,62,2,run,-2,not successful,0.27,,0.29,0.50,M.Carter,,,N.Turner,,1,,8-M.Carter to NC 40 for -2 yards (24-N.Turner).
North Carolina,4Q,13,146,63,3,pass,11,not successful,,0.30,0.28,0.49,,S.Howell,B.Corrales,N.Turner,,1,,7-S.Howell complete to 15-B.Corrales. 15-B.Corrales to CLE 49 for 11 yards (24-N.Turner).
North Carolina,4Q,13,147,64,4,run,3,successful,0.30,,0.30,0.50,S.Howell,,,J.Foster,K.Wallace,0.5,0.5,"7-S.Howell to CLE 46 for 3 yards (35-J.Foster,12-K.Wallace)."
North Carolina,4Q,13,148,65,1,pass,,not successful,,0.29,0.29,0.49,,S.Howell,D.Newsome,,,,,7-S.Howell incomplete. Intended for 5-D.Newsome.
North Carolina,4Q,13,149,66,2,run,8,successful,0.32,,0.30,0.50,M.Carter,,,X.Thomas,,1,,8-M.Carter to CLE 38 for 8 yards (3-X.Thomas).
North Carolina,4Q,13,150,67,3,run,-2,not successful,0.31,,0.30,0.51,M.Carter,,,J.Foster,X.Thomas,0.5,0.5,"8-M.Carter to CLE 40 for -2 yards (35-J.Foster,3-X.Thomas)."
North Carolina,4Q,13,151,68,4,pass,7,successful,,0.31,0.31,0.50,,S.Howell,R.Groves,N.Turner,,1,,7-S.Howell complete to 4-R.Groves. 4-R.Groves to CLE 33 for 7 yards (24-N.Turner).
North Carolina,4Q,13,152,69,1,run,2,not successful,0.30,,0.31,0.51,J.Williams,,,T.Davis,,1,,25-J.Williams to CLE 31 for 2 yards (13-T.Davis).
North Carolina,4Q,13,153,70,2,run,6,successful,0.32,,0.32,0.52,J.Williams,,,D.Kendrick,,1,,25-J.Williams to CLE 25 for 6 yards (1-D.Kendrick).
North Carolina,4Q,13,154,71,3,run,22,explosive,0.34,,0.33,0.52,J.Williams,,,I.Simmons,,1,,25-J.Williams to CLE 3 for 22 yards (11-I.Simmons).
North Carolina,4Q,13,155,72,1,pass,2,successful,,0.33,0.34,0.52,,S.Howell,J.Bargas,,,,,7-S.Howell complete to 80-J.Bargas. 80-J.Bargas to CLE 1 for 2 yards.
North Carolina,4Q,13,156,73,2,run,1,successful,0.36,,0.35,0.52,J.Williams,,,,,,, 25-J.Williams runs 1 yard for a touchdown.
